"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P01-01"	1.5			
"T1-P01-02"	4.5			
"T1-P01-03"	7.5	-42.57	-341.4	-0.9
"T1-P01-04"	10.5	-47.81	-375.5	7
"T1-P01-05"	13.5	-49.43	-387.4	8
"T1-P01-06"	16.5	-47.83	-375.2	7.4
"T1-P01-07"	19.5	-46.38	-362.1	8.9
"T1-P01-08"	22.5	-46.22	-360.1	9.7
"T1-P01-09"	25.5	-43.96	-344.2	7.5
"T1-P01-10"	28.5	-39.71	-315	2.6
"T1-P01-11"	31.5	-42.68	-343.3	-1.9
"T1-P01-12"	34.5	-46.62	-370.5	2.5
"T1-P01-13"	37.5	-48.04	-378.2	6.1
"T1-P01-14"	40.5	-48.49	-381.2	6.7
"T1-P01-15"	43.5	-46.96	-366.5	9.2
"T1-P01-16"	46.5	-43.17	-337.5	7.9
"T1-P01-17"	49.5	-39.28	-307.2	7
"T1-P01-18"	52.5	-39.46	-311.1	4.6
"T1-P01-19"	55.5	-41.99	-333.6	2.3
"T1-P01-20"	58.5	-43.19	-342	3.5
"T1-P01-21"	61.5			
"T1-P01-22"	64.5			
"T1-P01-23"	67.5	-44.17	-344.5	8.8
"T1-P01-24"	70.5	-42.55	-331.9	8.5
"T1-P01-25"	73.5			
"T1-P01-26"	76.5			
"T1-P01-27"	79.5			
"T1-P01-28"	82.5			
"T1-P01-29"	85.5			
"T1-P01-30"	88.5			
"T1-P01-31"	91.5			
"T1-P01-32"	94.5			
"T1-P01-33"	97.5			
"T1-P01-34"	100.5			
"T1-P01-35"	103.5			
"T1-P01-36"	106.5			
"T1-P01-37"	109.5			
"T1-P01-38"	112.5			
