"profileName"	"profilePos_[m]"	"profileSurfaceHeight_[cm]"
"T13-1-01"	-0.075	6.5
"T13-1-02"	0.025	6.5
"T13-1-03"	1.13	1.5
"T13-1-04"	1.53	2
"T13-1-05"	1.84	3.5
"T13-1-06"	2.09	3
"T13-1-07"	2.47	3
"T13-1-08"	2.72	3.5
"T13-1-09"	3	4.5
"T13-1-10"	3.61	6
"T13-1-11"	4.19	4.5
"T13-1-12"	4.81	6
"T13-1-13"	5.39	6
"T13-1-14"	6.02	7.5
"T13-1-22"	7.27	8
"T13-1-23"	8.38	9
"T13-1-24"	9.53	9.5
"T13-1-25"	10.77	10
"T13-1-26"	11.92	8
"T13-1-27"	13.13	10.3
"T13-1-28"	14.33	6
"T13-1-29"	15.53	7
"T13-1-15"	16.8	9
"T13-1-16"	18	10
"T13-1-17"	19.19	9
"T13-1-18"	20.38	7.5
"T13-1-19"	21.65	6.5
"T13-1-20"	22.8	7
"T13-1-21"	24	6.3
"T13-1-31"	26.4	2
"T13-1-32"	28.77	2
"T13-1-33"	31.17	1
"T13-1-30"	33.63	2
"T13-1-34"	36.01	0
"T13-1-35"	38.44	2
"T13-1-36"	40.83	1
"T13-1-37"	43.22	5
"T13-1-38"	45.66	6
