"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-A-01"	1.5			
"T1-A-02"	4.5			
"T1-A-03"	7.5			
"T1-A-04"	10.5			
"T1-A-05"	13.5	-37.89	-301.7	1.3
"T1-A-06"	16.5	-41.6	-334.7	-1.9
"T1-A-07"	19.5	-48.06	-380.6	3.9
"T1-A-08"	22.5	-53.49	-416.4	11.5
"T1-A-09"	25.5	-54.29	-420.8	13.5
"T1-A-10"	28.5	-50.04	-389	11.3
"T1-A-11"	31.5	-47.09	-372.7	4
"T1-A-12"	34.5	-53.22	-423	2.8
"T1-A-13"	37.5	-51.79	-407.8	6.5
"T1-A-14"	40.5	-44.07	-344.8	7.7
"T1-A-15"	43.5	-41.53	-326.1	6.1
"T1-A-16"	46.5	-42.16	-331.2	6.1
"T1-A-17"	49.5	-44.53	-349.2	7
"T1-A-18"	52.5	-43.78	-341.1	9.2
"T1-A-19"	55.5	-42.77	-330.5	11.6
"T1-A-20"	58.5	-43.7	-340.1	9.5
"T1-A-21"	61.5	-43.36	-341.4	5.5
"T1-A-22"	64.5	-48.52	-384.4	3.7
"T1-A-23"	67.5	-50.52	-398.2	5.9
"T1-A-24"	70.5	-49.2	-388.1	5.5
"T1-A-25"	73.5	-48.15	-381.1	4
"T1-A-26"	76.5	-47.3	-373.5	4.9
"T1-A-27"	79.5	-46	-360.5	7.5
"T1-A-28"	82.5	-43.99	-345.2	6.8
"T1-A-29"	85.5	-45.55	-360.9	3.5
"T1-A-30"	88.5	-47.07	-371.2	5.4
"T1-A-31"	91.5	-46.65	-366.1	7.1
"T1-A-32"	94.5	-45.52	-358.6	5.6
"T1-A-33"	97.5	-43.93	-347	4.5
"T1-A-34"	100.5	-40.97	-321.6	6.1
"T1-A-35"	103.5	-38.92	-305.4	6
"T1-A-36"	106.5	-40.43	-321.4	2.1
"T1-A-37"	109.5	-42.77	-341.7	0.4
"T1-A-38"	112.5	-44.07	-350.2	2.3
"T1-A-39"	115.5	-42.18	-331.1	6.3
"T1-A-40"	118.5	-41.28	-325	5.2
"T1-A-41"	121.5	-43.11	-342.2	2.7
"T1-A-42"	124.5	-45.65	-361.3	3.9
"T1-A-43"	127.5	-45.9	-359.9	7.3
"T1-A-44"	130.5	-43.92	-340	11.4
"T1-A-45"	133.5	-42.16	-324.4	12.9
"T1-A-46"	136.5	-42.32	-328.1	10.5
