"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-B-01"	1.5			
"T1-B-02"	4.5			
"T1-B-03"	7.5			
"T1-B-04"	10.5			
"T1-B-05"	13.5			
"T1-B-06"	16.5	-39.41	-319.2	-3.9
"T1-B-07"	19.5	-44.25	-350.1	3.9
"T1-B-08"	22.5	-48.01	-376.1	7.9
"T1-B-09"	25.5	-44.73	-347.2	10.6
"T1-B-10"	28.5	-43.48	-339.6	8.2
"T1-B-11"	31.5	-42.74	-339.9	2.1
"T1-B-12"	34.5	-46.85	-371.9	2.8
"T1-B-13"	37.5	-50.14	-393.8	7.3
"T1-B-14"	40.5	-46.33	-360.6	10.1
"T1-B-15"	43.5	-43.66	-338.7	10.5
"T1-B-16"	46.5	-44.66	-346.2	11.1
"T1-B-17"	49.5	-46.13	-356.9	12.2
"T1-B-18"	52.5	-46.54	-359.1	13.2
"T1-B-19"	55.5	-45.96	-356.1	11.5
"T1-B-20"	58.5	-44.77	-349.5	8.7
"T1-B-21"	61.5	-43.35	-340.3	6.5
"T1-B-22"	64.5	-44.86	-355.1	3.8
"T1-B-23"	67.5	-49.26	-387.6	6.5
"T1-B-24"	70.5	-51.55	-402.8	9.6
"T1-B-25"	73.5	-49.42	-386.4	8.9
"T1-B-26"	76.5	-44.48	-347.2	8.6
"T1-B-27"	79.5	-40.07	-312.2	8.3
"T1-B-28"	82.5	-40.92	-324.4	3
"T1-B-29"	85.5	-44.47	-354.9	0.9
"T1-B-30"	88.5	-46.51	-368.2	3.9
"T1-B-31"	91.5	-46.98	-370.4	5.4
"T1-B-32"	94.5	-46.38	-364	7.1
"T1-B-33"	97.5	-45.01	-351.5	8.5
"T1-B-34"	100.5	-44.18	-347.7	5.7
"T1-B-35"	103.5	-45.2	-357.5	4.1
"T1-B-36"	106.5	-45.36	-356.1	6.9
"T1-B-37"	109.5	-44.8	-349.5	8.9
"T1-B-38"	112.5	-42.86	-333.3	9.6
"T1-B-39"	115.5	-42.24	-332.1	5.8
"T1-B-40"	118.5	-43.67	-347.5	1.8
"T1-B-41"	121.5	-46.36	-368.1	2.8
"T1-B-42"	124.5	-48.38	-381.8	5.3
"T1-B-43"	127.5	-49.21	-387.1	6.6
"T1-B-44"	130.5	-49.05	-385	7.3
"T1-B-45"	133.5	-46.82	-366.7	7.8
"T1-B-46"	136.5	-44.61	-349.1	7.7
"T1-B-47"	139.5	-42.85	-334.9	7.9
"T1-B-48"	142.5	-41.18	-322	7.5
"T1-B-49"	145.5	-39.48	-308.4	7.5
"T1-B-50"	148.5	-40.1	-316.1	4.7
"T1-B-51"	151.5	-42.31	-336.4	2.1
"T1-B-52"	154.5	-44.51	-353.3	2.8
"T1-B-53"	157.5	-45.4	-358.7	4.5
"T1-B-54"	160.5	-43.96	-344.8	6.9
"T1-B-55"	163.5	-41.73	-327.5	6.4
"T1-B-56"	166.5	-38.88	-306.1	5
"T1-B-57"	169.5	-35.86	-279.2	7.6
"T1-B-58"	172.5	-33.57	-256.8	11.8
"T1-B-59"	175.5	-33.99	-259.7	12.2
"T1-B-60"	178.5	-37.93	-294.4	9
"T1-B-61"	181.5	-41.72	-324.8	8.9
"T1-B-62"	184.5	-43.32	-336.2	10.3
"T1-B-63"	187.5	-43.66	-339.2	10.1
"T1-B-64"	190.5	-43.46	-339	8.7
"T1-B-65"	193.5	-45.7	-358.8	6.8
"T1-B-66"	196.5	-47.81	-377.1	5.4
"T1-B-67"	199.5	-48.88	-386.7	4.4
"T1-B-68"	202.5	-48.58	-385	3.6
"T1-B-69"	205.5	-48.43	-384.4	3
"T1-B-70"	208.5	-47.81	-377.8	4.7
"T1-B-71"	211.5	-46.28	-362.9	7.4
"T1-B-72"	214.5	-44.91	-349.3	10
"T1-B-73"	217.5	-44.65	-348	9.2
"T1-B-74"	220.5	-45.95	-360.4	7.2
"T1-B-75"	223.5	-47.97	-378.1	5.7
"T1-B-76"	226.5	-48.45	-382.5	5.2
"T1-B-77"	229.5	-47.36	-372.6	6.3
"T1-B-78"	232.5	-45.36	-353.2	9.7
"T1-B-79"	235.5	-44.06	-341.3	11.1
"T1-B-80"	238.5	-44.82	-350	8.6
"T1-B-81"	241.111111111111	-46.3	-363.5	6.9
"T1-B-82"	243.333333333333	-46.44	-363.9	7.6
"T1-B-83"	245.555555555556	-45.65	-357	8.2
"T1-B-84"	247.777777777778	-44.43	-347.2	8.2
"T1-B-85"	250	-43.15	-337.7	7.4
"T1-B-86"	252.222222222222	-42.73	-335.3	6.6
"T1-B-87"	254.444444444444	-43.36	-340.9	6
"T1-B-88"	256.666666666667	-44.63	-352.1	5
"T1-B-89"	258.888888888889	-45.81	-362.8	3.7
"T1-B-90"	261.111111111111	-45.93	-362.8	4.7
"T1-B-91"	263.333333333333	-45.31	-355.6	6.9
"T1-B-92"	265.555555555556	-44.95	-351.1	8.5
"T1-B-93"	267.777777777778	-45.12	-352.5	8.5
"T1-B-94"	270	-45.58	-356.8	7.8
"T1-B-95"	272.222222222222	-46.09	-361.1	7.6
"T1-B-96"	274.444444444444	-46.44	-364.2	7.3
"T1-B-97"	276.666666666667	-46.55	-365.6	6.8
"T1-B-98"	278.888888888889	-46.24	-363.6	6.3
"T1-B-99"	281.111111111111	-45.31	-356.2	6.3
"T1-B-100"	283.333333333333	-43.94	-344.8	6.8
"T1-B-101"	285.555555555556	-42.56	-333.4	7.1
