"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-C-01"	1.5			
"T1-C-02"	4.5			
"T1-C-03"	7.5			
"T1-C-04"	10.5	-44.32	-352.7	1.8
"T1-C-05"	13.5	-45.3	-358.6	3.8
"T1-C-06"	16.5	-48.67	-385.8	3.5
"T1-C-07"	19.5	-51.81	-407.7	6.8
"T1-C-08"	22.5	-51.95	-406	9.6
"T1-C-09"	25.5	-49.89	-391.4	7.8
"T1-C-10"	28.5	-45.27	-360.2	1.9
"T1-C-11"	31.5	-45.63	-360.9	4.1
"T1-C-12"	34.5	-47.2	-372.9	4.7
"T1-C-13"	37.5	-48.92	-386.3	5
"T1-C-14"	40.5	-49.09	-389.3	3.4
"T1-C-15"	43.5	-47.58	-376.4	4.2
"T1-C-16"	46.5	-45.56	-358.2	6.3
"T1-C-17"	49.5	-48.65	-383.6	5.5
"T1-C-18"	52.5	-53.5	-420.2	7.8
"T1-C-19"	55.5	-56.16	-439	10.3
"T1-C-20"	58.5	-56.47	-441	10.8
"T1-C-21"	61.5	-55.12	-429.2	11.7
"T1-C-22"	64.5	-53.67	-416.2	13.2
"T1-C-23"	67.5	-52.67	-407.9	13.5
"T1-C-24"	70.5	-52.22	-405	12.8
"T1-C-25"	73.5	-50.82	-396.8	9.8
"T1-C-26"	76.5	-46.96	-369.8	6
"T1-C-27"	79.5	-41.33	-328.7	2
"T1-C-28"	82.5	-41.48	-333	-1.1
"T1-C-29"	85.5	-43.81	-350.3	0.1
"T1-C-30"	88.5	-46.11	-363.6	5.2
"T1-C-31"	91.5	-47.4	-371.1	8.1
"T1-C-32"	94.5	-47.51	-372.1	8
"T1-C-33"	97.5	-47.13	-369.5	7.6
"T1-C-34"	100.5	-45.53	-357.4	6.8
"T1-C-35"	103.5	-42.94	-339.3	4.2
"T1-C-36"	106.5	-42.14	-334.6	2.5
"T1-C-37"	109.5	-43.47	-344.7	3
"T1-C-38"	112.5	-46.55	-370.3	2
"T1-C-39"	115.5	-48.06	-380.1	4.3
"T1-C-40"	118.5	-46.55	-362.9	9.5
"T1-C-41"	121.5	-46.64	-364.3	8.8
"T1-C-42"	124.5	-47.61	-373.8	7
"T1-C-43"	127.5	-48.17	-378	7.3
"T1-C-44"	130.5	-47.07	-367.8	8.8
"T1-C-45"	133.5	-46.01	-359	9.1
"T1-C-46"	136.5	-45.28	-353.9	8.4
"T1-C-47"	139.5	-43.36	-338.2	8.7
"T1-C-48"	142.5	-40.93	-319.4	8.1
"T1-C-49"	145.5	-40.07	-312.2	8.4
"T1-C-50"	148.5	-42.03	-328.7	7.5
"T1-C-51"	151.5	-46.04	-362.5	5.8
"T1-C-52"	154.5	-50.1	-395.1	5.7
"T1-C-53"	157.5	-51.78	-407.9	6.3
"T1-C-54"	160.5	-48.79	-383.1	7.2
"T1-C-55"	163.5	-43.72	-341.6	8.2
"T1-C-56"	166.5	-40.04	-313.4	6.9
"T1-C-57"	169.5	-38.01	-299	5.1
"T1-C-58"	172.5	-35.7	-277.3	8.3
"T1-C-59"	175.5	-34.76	-265.6	12.5
"T1-C-60"	178.5	-36.95	-284.8	10.8
"T1-C-61"	181.5	-41.77	-330.2	3.9
"T1-C-62"	184.5	-43.28	-341.4	4.9
"T1-C-63"	187.5	-42.16	-329.5	7.7
"T1-C-64"	190.5	-42.35	-330.9	7.9
"T1-C-65"	193.5	-44.3	-347.3	7.1
"T1-C-66"	196.5	-46.94	-368.5	7
"T1-C-67"	199.5	-49.02	-386.2	6
"T1-C-68"	202.5	-49.17	-388	5.3
"T1-C-69"	205.5	-47.98	-378.8	5.1
"T1-C-70"	208.5	-46.51	-365	7.1
"T1-C-71"	211.5	-45.57	-356.1	8.4
"T1-C-72"	214.5	-43.62	-338.3	10.7
"T1-C-73"	217.5	-41.39	-317.3	13.8
"T1-C-74"	220.5	-41.25	-317.9	12.1
"T1-C-75"	223.5	-44.58	-349.9	6.8
"T1-C-76"	226.5	-45.98	-360.6	7.3
"T1-C-77"	229.5	-45.56	-355.2	9.3
