"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-D-01"	1.5			
"T1-D-02"	4.5			
"T1-D-03"	7.5			
"T1-D-04"	10.5			
"T1-D-05"	13.5	-42.69	-343.1	-1.6
"T1-D-06"	16.5	-45.12	-358.4	2.6
"T1-D-07"	19.5	-45.98	-363.6	4.2
"T1-D-08"	22.5	-50.73	-399.2	6.6
"T1-D-09"	25.5	-47.95	-376.1	7.4
"T1-D-10"	28.5	-47.07	-371	5.5
"T1-D-11"	31.5	-45.24	-361	0.9
"T1-D-12"	34.5	-45.33	-358.6	4.1
"T1-D-13"	37.5	-46.78	-369.7	4.6
"T1-D-14"	40.5	-51.22	-405.4	4.3
"T1-D-15"	43.5	-51.32	-404.4	6.2
"T1-D-16"	46.5	-47.65	-372.2	9
"T1-D-17"	49.5	-45.06	-350.8	9.7
"T1-D-18"	52.5	-43.92	-343.9	7.4
"T1-D-19"	55.5	-41.8	-329.3	5.1
"T1-D-20"	58.5	-39.49	-314.8	1.1
"T1-D-21"	61.5	-42.36	-337.7	1.2
"T1-D-22"	64.5	-45.3	-358.6	3.8
"T1-D-23"	67.5	-47.59	-374.8	5.9
"T1-D-24"	70.5	-49.61	-389.2	7.7
"T1-D-25"	73.5	-51.06	-399.2	9.3
"T1-D-26"	76.5	-50.23	-393	8.8
"T1-D-27"	79.5	-47.25	-371.2	6.8
"T1-D-28"	82.5	-44.35	-353	1.8
"T1-D-29"	85.5	-43.85	-350.3	0.6
"T1-D-30"	88.5	-45.08	-357.6	3.1
"T1-D-31"	91.5	-47.21	-370.5	7.2
"T1-D-32"	94.5	-47.43	-370.2	9.3
"T1-D-33"	97.5	-46.36	-361.5	9.4
"T1-D-34"	100.5	-43.87	-341.7	9.2
"T1-D-35"	103.5	-40.01	-309.4	10.7
"T1-D-36"	106.5	-40.05	-315.6	4.8
"T1-D-37"	109.5	-42.07	-333.8	2.8
"T1-D-38"	112.5	-43.95	-347.4	4.2
"T1-D-39"	115.5	-45.06	-354.3	6.2
"T1-D-40"	118.5	-43.35	-340.2	6.6
"T1-D-41"	121.5	-42.48	-335.7	4.1
"T1-D-42"	124.5	-45.01	-356.7	3.4
"T1-D-43"	127.5	-47.49	-374.2	5.7
"T1-D-44"	130.5	-48.31	-378.8	7.7
