"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-E-01"	1.5			
"T1-E-02"	4.5			
"T1-E-03"	7.5			
"T1-E-04"	10.5			
"T1-E-05"	13.5			
"T1-E-06"	16.5	-43.9	-352.3	-1.1
"T1-E-07"	19.5	-54.08	-423.8	8.8
"T1-E-08"	22.5	-52.21	-408	9.7
"T1-E-09"	25.5	-49.09	-382.4	10.3
"T1-E-10"	28.5	-47.34	-369.7	9
"T1-E-11"	31.5	-43.57	-345.4	3.2
"T1-E-12"	34.5	-44	-351	1
"T1-E-13"	37.5	-44.81	-355.7	2.8
"T1-E-14"	40.5	-46.14	-366.3	2.8
"T1-E-15"	43.5	-48.43	-385.2	2.3
"T1-E-16"	46.5	-46.15	-364.8	4.5
"T1-E-17"	49.5	-43.24	-337.7	8.2
"T1-E-18"	52.5	-41.07	-318.7	9.8
"T1-E-19"	55.5	-40.84	-315.1	11.6
"T1-E-20"	58.5	-44.14	-346	7.1
"T1-E-21"	61.5	-49.04	-386.2	6.1
"T1-E-22"	64.5	-51.76	-404	10.2
"T1-E-23"	67.5	-51.99	-404.8	11.1
"T1-E-24"	70.5	-52.32	-407	11.6
"T1-E-25"	73.5	-51.33	-401.5	9.2
"T1-E-26"	76.5	-46.19	-362.9	6.6
"T1-E-27"	79.5	-41.32	-325.5	5
"T1-E-28"	82.5	-42.44	-337.6	1.9
"T1-E-29"	85.5	-45.33	-359.2	3.4
"T1-E-30"	88.5	-47.2	-369.6	8
"T1-E-31"	91.5	-47.98	-374.5	9.4
"T1-E-32"	94.5	-47.72	-372.8	8.9
"T1-E-33"	97.5	-45.02	-352.6	7.6
"T1-E-34"	100.5	-41.62	-328.1	4.8
"T1-E-35"	103.5	-41.2	-326.8	2.9
"T1-E-36"	106.5	-42.29	-336.8	1.5
"T1-E-37"	109.5	-44.78	-357.2	1.1
"T1-E-38"	112.5	-46.82	-371.7	2.8
"T1-E-39"	115.5	-46.42	-366.7	4.6
"T1-E-40"	118.5	-44.75	-353.8	4.2
"T1-E-41"	121.5	-40.91	-326.6	0.7
"T1-E-42"	124.5	-39.14	-315.2	-2.1
"T1-E-43"	127.5	-41.34	-333.4	-2.7
"T1-E-44"	130.5	-43.75	-349.7	0.3
"T1-E-45"	133.5	-43.84	-345.8	4.9
"T1-E-46"	136.5	-42.94	-334.2	9.4
"T1-E-47"	139.5	-41.86	-326.1	8.8
"T1-E-48"	142.5	-41.42	-323.8	7.6
"T1-E-49"	145.5	-42.89	-337.7	5.5
"T1-E-50"	148.5	-45.34	-359.6	3.1
"T1-E-51"	151.5	-46.45	-368.5	3.1
"T1-E-52"	154.5	-46.41	-367.1	4.1
"T1-E-53"	157.5	-45.59	-359.3	5.4
"T1-E-54"	160.5	-44.87	-354	5
"T1-E-55"	163.5	-42.2	-332.8	4.8
"T1-E-56"	166.5	-38.04	-297.6	6.7
"T1-E-57"	169.5	-35.11	-268.2	12.7
"T1-E-58"	172.5	-35.82	-274.2	12.4
"T1-E-59"	175.5	-39.83	-309.8	8.8
"T1-E-60"	178.5	-44.93	-354	5.5
"T1-E-61"	181.5	-46.72	-366.2	7.5
"T1-E-62"	184.5	-45.68	-356.5	8.9
"T1-E-63"	187.5	-45.58	-356.6	8
"T1-E-64"	190.5	-47.36	-374.2	4.7
"T1-E-65"	193.5	-49.06	-389.7	2.8
"T1-E-66"	196.5	-48.22	-385.6	0.1
"T1-E-67"	199.5	-49.1	-391.3	1.5
"T1-E-68"	202.5	-47.28	-378.3	0
"T1-E-69"	205.5	-47.35	-377.7	1.1
"T1-E-70"	208.5	-47.68	-378.7	2.7
"T1-E-71"	211.5	-47.27	-371.6	6.6
"T1-E-72"	214.5	-46.14	-360.3	8.8
"T1-E-73"	217.5	-44.64	-346.8	10.3
"T1-E-74"	220.5	-43.86	-341.3	9.6
"T1-E-75"	223.5	-44.74	-352.2	5.7
"T1-E-76"	226.5	-47.28	-374.7	3.5
"T1-E-77"	229.5	-48.47	-383.3	4.5
"T1-E-78"	232.5	-47.89	-377.4	5.8
"T1-E-79"	235.5	-45.5	-356.1	7.8
"T1-E-80"	238.5	-43.12	-336.6	8.3
"T1-E-81"	241.111111111111	-42.7	-335.9	5.7
"T1-E-82"	243.333333333333	-43.22	-342.2	3.6
"T1-E-83"	245.555555555556	-44.05	-349.2	3.2
"T1-E-84"	247.777777777778	-44.57	-352.8	3.8
"T1-E-85"	250	-44.7	-354.3	3.3
"T1-E-86"	252.222222222222	-44.67	-355.5	1.8
