"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-F-01"	1.5			
"T1-F-02"	4.5			
"T1-F-03"	7.5			
"T1-F-04"	10.5			
"T1-F-05"	13.5	-42.4	-340.8	-1.5
"T1-F-06"	16.5	-47.26	-374.1	4
"T1-F-07"	19.5	-53.16	-417.1	8.2
"T1-F-08"	22.5	-52.87	-412.8	10.2
"T1-F-09"	25.5	-48.67	-378.3	11
"T1-F-10"	28.5	-45.71	-358.3	7.4
"T1-F-11"	31.5	-43.55	-345.5	2.8
"T1-F-12"	34.5	-46.16	-366.9	2.3
"T1-F-13"	37.5	-50.29	-397.6	4.7
"T1-F-14"	40.5	-50.4	-394.2	9
"T1-F-15"	43.5	-49.08	-383.1	9.6
"T1-F-16"	46.5	-45.23	-351.5	10.4
"T1-F-17"	49.5	-44.33	-344.2	10.4
"T1-F-18"	52.5	-44.4	-343	12.1
"T1-F-19"	55.5	-43.88	-341.6	9.4
"T1-F-20"	58.5	-44.01	-347.5	4.6
"T1-F-21"	61.5	-49.16	-385.7	7.6
"T1-F-22"	64.5	-51.26	-399.7	10.3
"T1-F-23"	67.5	-50.97	-397.8	9.9
"T1-F-24"	70.5	-49.48	-386.5	9.4
"T1-F-25"	73.5	-46.14	-360.2	8.9
"T1-F-26"	76.5	-41.85	-327.9	6.9
"T1-F-27"	79.5	-41.49	-331.2	0.7
"T1-F-28"	82.5	-44.88	-358.9	0.1
"T1-F-29"	85.5	-47.08	-371.5	5.1
"T1-F-30"	88.5	-47.11	-369.3	7.5
"T1-F-31"	91.5	-46.25	-363.3	6.7
"T1-F-32"	94.5	-44.01	-346.3	5.8
"T1-F-33"	97.5	-42.5	-336.1	3.9
"T1-F-34"	100.5	-42.86	-339.3	3.6
"T1-F-35"	103.5	-44.77	-355	3.1
"T1-F-36"	106.5	-47.54	-378.2	2.1
"T1-F-37"	109.5	-47.63	-378.7	2.4
"T1-F-38"	112.5	-46.2	-366.4	3.2
"T1-F-39"	115.5	-43.14	-340.9	4.3
"T1-F-40"	118.5	-39.96	-317.4	2.3
"T1-F-41"	121.5	-41.28	-331.6	-1.3
"T1-F-42"	124.5	-44.83	-358.2	0.5
"T1-F-43"	127.5	-46.54	-367.1	5.2
"T1-F-44"	130.5	-46.27	-362.3	7.8
"T1-F-45"	133.5	-44.55	-346.7	9.7
"T1-F-46"	136.5	-43.38	-338.1	8.9
"T1-F-47"	139.5	-43.06	-336.4	8.1
"T1-F-48"	142.5	-44.81	-352.6	5.9
"T1-F-49"	145.5	-47.71	-377.1	4.5
"T1-F-50"	148.5	-48.63	-383.1	6
"T1-F-51"	151.5	-47.81	-375.7	6.7
"T1-F-52"	154.5	-47.01	-368.1	7.9
"T1-F-53"	157.5	-45.42	-354.3	9.1
"T1-F-54"	160.5	-41.28	-320.5	9.7
"T1-F-55"	163.5	-37.25	-287.5	10.5
"T1-F-56"	166.5	-36.19	-277.2	12.3
"T1-F-57"	169.5	-38.47	-297.2	10.5
"T1-F-58"	172.5	-43.16	-339	6.3
"T1-F-59"	175.5	-45.24	-353	8.9
"T1-F-60"	178.5	-45.07	-349	11.6
"T1-F-61"	181.5	-44.57	-346.1	10.4
"T1-F-62"	184.5	-43.27	-338.1	8.1
"T1-F-63"	187.5	-42.97	-336.9	6.8
"T1-F-64"	190.5	-44.59	-351.5	5.2
"T1-F-65"	193.5	-46.27	-365.5	4.7
"T1-F-66"	196.5	-47.46	-374.3	5.4
"T1-F-67"	199.5	-48.62	-381.7	7.3
"T1-F-68"	202.5	-48.68	-380.1	9.3
"T1-F-69"	205.5	-47.84	-373	9.7
"T1-F-70"	208.5	-46.42	-361.7	9.7
"T1-F-71"	211.5	-44.17	-343.6	9.7
"T1-F-72"	214.5	-40.69	-312.6	12.9
"T1-F-73"	217.5	-39	-298.3	13.7
"T1-F-74"	220.5	-39.69	-306.4	11.1
"T1-F-75"	223.5	-41.96	-327.8	7.9
"T1-F-76"	226.5	-43.97	-343.5	8.3
"T1-F-77"	229.5	-43.9	-340.3	10.9
"T1-F-78"	232.5	-43.07	-333.4	11.1
"T1-F-79"	235.5	-42.89	-333.7	9.4
"T1-F-80"	238.5	-44.13	-346.7	6.4
"T1-F-81"	241.111111111111	-44.33	-348.2	6.4
