"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-DUNE1-01"	1.5	-40.62	-314.7	10.3
"T1-DUNE1-02"	4.5	-43.08	-343.1	1.5
"T1-DUNE1-03"	7.5	-45.27	-358.7	3.5
"T1-DUNE1-04"	10.5	-45.17	-357.5	3.9
"T1-DUNE1-05"	13.5	-44.67	-354.6	2.8
"T1-DUNE1-06"	16.5	-43.01	-341.1	2.9
"T1-DUNE1-07"	19.5	-46.66	-368.4	4.8
"T1-DUNE1-08"	22.5	-51.63	-404.4	8.6
"T1-DUNE1-09"	25.5	-51.34	-400.8	9.9
"T1-DUNE1-10"	28.5	-45.45	-357.4	6.2
"T1-DUNE1-11"	31.5	-42.84	-342.8	-0.1
"T1-DUNE1-12"	34.5	-47.39	-376.1	3.1
"T1-DUNE1-13"	37.5	-48.34	-378.8	7.9
"T1-DUNE1-14"	40.5	-49.14	-383.4	9.7
"T1-DUNE1-15"	43.5	-49.68	-388	9.4
"T1-DUNE1-16"	46.5	-47.88	-375.7	7.3
"T1-DUNE1-17"	49.5	-46.11	-360.3	8.6
"T1-DUNE1-18"	52.5	-46.91	-365.9	9.3
"T1-DUNE1-19"	55.5	-46.33	-361.1	9.5
"T1-DUNE1-20"	58.5	-46.32	-368.3	2.3
"T1-DUNE1-21"	61.5	-48.69	-385	4.6
"T1-DUNE1-22"	64.5	-50.78	-398.1	8.1
"T1-DUNE1-23"	67.5	-51.14	-399	10.1
"T1-DUNE1-24"	70.5	-49.25	-384.4	9.6
"T1-DUNE1-25"	73.5	-46.53	-363.5	8.8
"T1-DUNE1-26"	76.5	-43.15	-336	9.3
"T1-DUNE1-27"	79.5	-40.26	-315.5	6.6
"T1-DUNE1-28"	82.5	-43.17	-347	-1.6
"T1-DUNE1-29"	85.5	-45.73	-364.9	1
"T1-DUNE1-30"	88.5	-47	-370.9	5.1
"T1-DUNE1-31"	91.5	-46.54	-365.2	7.2
"T1-DUNE1-32"	94.5	-44.62	-348.2	8.8
"T1-DUNE1-33"	97.5	-43.23	-337.6	8.2
"T1-DUNE1-34"	100.5	-42.14	-332.5	4.6
"T1-DUNE1-35"	103.5	-42.81	-339.9	2.6
"T1-DUNE1-36"	106.5	-46.36	-368.6	2.3
"T1-DUNE1-37"	109.5	-46.79	-371.2	3.1
"T1-DUNE1-38"	112.5	-45.2	-355	6.6
"T1-DUNE1-39"	115.5	-44.21	-344.2	9.5
"T1-DUNE1-40"	118.5	-44.12	-344.4	8.6
"T1-DUNE1-41"	121.5	-45.76	-361.4	4.6
"T1-DUNE1-42"	124.5	-47.03	-370.8	5.4
"T1-DUNE1-43"	127.5	-45.72	-356.5	9.2
"T1-DUNE1-44"	130.5	-43.85	-339.3	11.5
"T1-DUNE1-45"	133.5	-43.61	-337.2	11.7
"T1-DUNE1-46"	136.5	-44.13	-343	10
"T1-DUNE1-47"	139.5	-44.82	-351.7	6.8
"T1-DUNE1-48"	142.5	-47.65	-376.5	4.7
"T1-DUNE1-49"	145.5	-49.75	-392.6	5.5
"T1-DUNE1-50"	148.5	-49.52	-389.5	6.7
"T1-DUNE1-51"	151.5	-47.76	-375.6	6.5
"T1-DUNE1-52"	154.5	-46.13	-362.3	6.8
"T1-DUNE1-53"	157.5	-44.11	-344.8	8.1
"T1-DUNE1-54"	160.5	-42.05	-327.2	9.2
"T1-DUNE1-55"	163.5	-42.07	-327.1	9.5
"T1-DUNE1-56"	166.5	-45.4	-357.6	5.6
"T1-DUNE1-57"	169.5	-48.65	-384.8	4.5
"T1-DUNE1-58"	172.5	-49.21	-386.7	7
"T1-DUNE1-59"	175.5	-47.8	-373.2	9.2
"T1-DUNE1-60"	178.5	-44.79	-348	10.3
"T1-DUNE1-61"	181.5	-42.78	-332.7	9.6
"T1-DUNE1-62"	184.5	-43.49	-340.1	7.8
"T1-DUNE1-63"	187.5	-46.4	-365.6	5.6
"T1-DUNE1-64"	190.5	-49.14	-386.6	6.5
"T1-DUNE1-65"	193.5	-50.42	-394.8	8.6
"T1-DUNE1-66"	196.5	-50.58	-394.3	10.4
"T1-DUNE1-67"	199.5	-49.88	-388.5	10.5
"T1-DUNE1-68"	202.5	-48.55	-377.9	10.6
"T1-DUNE1-69"	205.5	-46.71	-363.7	10
"T1-DUNE1-70"	208.5	-44.28	-343.3	10.9
"T1-DUNE1-71"	211.5	-40.73	-312.5	13.4
"T1-DUNE1-72"	214.5	-39.34	-300.4	14.3
"T1-DUNE1-73"	217.5	-40.64	-314	11.1
"T1-DUNE1-74"	220.5	-43.97	-344.8	7
"T1-DUNE1-75"	223.5	-46.4	-365.7	5.5
"T1-DUNE1-76"	226.5	-45.93	-360.6	6.9
"T1-DUNE1-77"	229.5	-44.04	-344.1	8.2
"T1-DUNE1-78"	232.5	-43.02	-337	7.1
"T1-DUNE1-79"	235.5	-44.66	-353	4.3
"T1-DUNE1-80"	238.5	-47.17	-372.5	4.8
"T1-DUNE1-81"	241.111111111111	-45.07	-353.7	6.9
"T1-DUNE1-82"	243.333333333333	-44.57	-350.4	6.2
"T1-DUNE1-83"	245.555555555556	-43.79	-347	3.3
