"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-G-01"	1.5			
"T1-G-02"	4.5			
"T1-G-03"	7.5			
"T1-G-04"	10.5	-43.96	-350.8	0.8
"T1-G-05"	13.5	-45.09	-357.6	3.1
"T1-G-06"	16.5	-43.04	-340.2	4.1
"T1-G-07"	19.5	-41.33	-328.6	2
"T1-G-08"	22.5	-44.7	-354.4	3.2
"T1-G-09"	25.5	-46.79	-368.8	5.5
"T1-G-10"	28.5	-44	-344.3	7.7
"T1-G-11"	31.5	-43.19	-343.8	1.7
"T1-G-12"	34.5	-44.82	-354.9	3.7
"T1-G-13"	37.5	-46.13	-364.9	4.2
"T1-G-14"	40.5	-47.91	-379	4.3
"T1-G-15"	43.5	-48	-376.4	7.6
"T1-G-16"	46.5	-45.64	-355	10.2
"T1-G-17"	49.5	-43.72	-339.8	9.9
"T1-G-18"	52.5	-43.73	-342.1	7.7
"T1-G-19"	55.5	-44.47	-347.7	8.1
"T1-G-20"	58.5	-44.2	-344	9.7
"T1-G-21"	61.5	-44.74	-350.7	7.2
"T1-G-22"	64.5	-48.9	-383.9	7.3
"T1-G-23"	67.5	-48.8	-380.7	9.7
"T1-G-24"	70.5	-47.55	-370	10.4
"T1-G-25"	73.5	-46.02	-358.5	9.7
"T1-G-26"	76.5	-43.94	-342.6	8.9
"T1-G-27"	79.5	-40.84	-318.8	7.9
"T1-G-28"	82.5	-41.63	-331	2.1
"T1-G-29"	85.5	-44.84	-358.1	0.6
"T1-G-30"	88.5	-47.82	-377.9	4.7
"T1-G-31"	91.5	-48.36	-377.6	9.3
"T1-G-32"	94.5	-47.52	-370.1	10.1
"T1-G-33"	97.5	-45.48	-355.1	8.7
"T1-G-34"	100.5	-42.39	-333.4	5.8
"T1-G-35"	103.5	-42.14	-332	5.1
"T1-G-36"	106.5	-42.99	-337.1	6.8
"T1-G-37"	109.5	-44.06	-347.6	4.9
"T1-G-38"	112.5	-43.7	-346.4	3.1
"T1-G-39"	115.5	-41.05	-324.8	3.6
"T1-G-40"	118.5	-39.65	-315.3	1.9
"T1-G-41"	121.5	-41.13	-327.1	1.9
"T1-G-42"	124.5	-43.93	-347.2	4.2
"T1-G-43"	127.5	-45.83	-359.5	7.1
"T1-G-44"	130.5	-45.61	-356.3	8.6
"T1-G-45"	133.5	-45.02	-350.9	9.2
"T1-G-46"	136.5	-44.3	-345.7	8.7
"T1-G-47"	139.5	-44.56	-348.7	7.8
"T1-G-48"	142.5	-46.52	-367.1	5
"T1-G-49"	145.5	-49.3	-389.2	5.2
"T1-G-50"	148.5	-50.05	-393.9	6.5
"T1-G-51"	151.5	-49.02	-384.9	7.3
"T1-G-52"	154.5	-47.45	-372.7	7
"T1-G-53"	157.5	-45.98	-360.3	7.6
"T1-G-54"	160.5	-43.71	-340.4	9.3
"T1-G-55"	163.5	-40.77	-317.8	8.4
"T1-G-56"	166.5	-38.01	-295.1	9
"T1-G-57"	169.5	-37.43	-289.4	10.1
"T1-G-58"	172.5	-39.53	-308.5	7.7
"T1-G-59"	175.5	-43.78	-346.7	3.5
"T1-G-60"	178.5	-46.02	-365.2	2.9
"T1-G-61"	181.5	-45.74	-360	5.9
"T1-G-62"	184.5	-44.57	-348.8	7.8
"T1-G-63"	187.5	-45.3	-356.2	6.2
"T1-G-64"	190.5	-46.83	-371.2	3.4
"T1-G-65"	193.5	-47.33	-373.3	5.3
"T1-G-66"	196.5	-46.85	-368.2	6.6
"T1-G-67"	199.5	-45.97	-361.2	6.6
"T1-G-68"	202.5	-44.09	-345	7.6
"T1-G-69"	205.5	-41.81	-326.9	7.6
"T1-G-70"	208.5	-40.64	-317.6	7.6
"T1-G-71"	211.5	-40.26	-311.9	10.1
"T1-G-72"	214.5	-41.03	-318.3	9.9
"T1-G-73"	217.5	-41.75	-324.4	9.6
"T1-G-74"	220.5	-41.17	-317.2	12.2
"T1-G-75"	223.5	-41.96	-325.6	10.1
"T1-G-76"	226.5	-45.38	-357.1	6
"T1-G-77"	229.5	-47.27	-372.8	5.4
"T1-G-78"	232.5	-46.28	-361.2	9
"T1-G-79"	235.5	-44.61	-344.8	12.1
"T1-G-80"	238.5	-43.61	-337.1	11.7
