"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-H-01"	1.5			
"T1-H-02"	4.5			
"T1-H-03"	7.5			
"T1-H-04"	10.5			
"T1-H-05"	13.5			
"T1-H-06"	16.5			
"T1-H-07"	19.5	-47.71	-379.3	2.4
"T1-H-08"	22.5	-51.35	-404.2	6.6
"T1-H-09"	25.5	-49.34	-386.8	7.9
"T1-H-10"	28.5	-45	-350.2	9.8
"T1-H-11"	31.5	-43.49	-342.6	5.3
"T1-H-12"	34.5	-43.45	-346	1.6
"T1-H-13"	37.5	-44.32	-351.4	3.1
"T1-H-14"	40.5	-43.88	-347.7	3.3
"T1-H-15"	43.5	-44.74	-353.9	4
"T1-H-16"	46.5	-45.22	-355.5	6.3
"T1-H-17"	49.5	-42.71	-333.9	7.8
"T1-H-18"	52.5	-41.05	-319.5	8.9
"T1-H-19"	55.5	-39.31	-308.5	6
"T1-H-20"	58.5	-40.8	-324.5	1.9
"T1-H-21"	61.5	-45.47	-361.2	2.6
"T1-H-22"	64.5	-46.73	-365.2	8.7
"T1-H-23"	67.5	-46.65	-362.3	10.9
"T1-H-24"	70.5	-46.53	-361.1	11.2
"T1-H-25"	73.5	-46.48	-359.9	12
"T1-H-26"	76.5	-45.22	-351.4	10.4
"T1-H-27"	79.5	-42.77	-335.2	7
"T1-H-28"	82.5	-42.72	-337.8	3.9
"T1-H-29"	85.5	-44.53	-353.3	3
"T1-H-30"	88.5	-46.63	-367.8	5.2
"T1-H-31"	91.5	-47.62	-373	7.9
"T1-H-32"	94.5	-48.23	-376.7	9.2
"T1-H-33"	97.5	-48.29	-377.2	9.1
"T1-H-34"	100.5	-47.04	-366.9	9.4
"T1-H-35"	103.5	-44.57	-348.9	7.7
"T1-H-36"	106.5	-43.84	-346	4.8
"T1-H-37"	109.5	-46.51	-366	6.1
"T1-H-38"	112.5	-45.95	-359.6	8
"T1-H-39"	115.5	-43.28	-337.3	8.9
"T1-H-40"	118.5	-42.95	-337.1	6.4
"T1-H-41"	121.5	-44.72	-353.4	4.3
"T1-H-42"	124.5	-45.05	-354.4	6
"T1-H-43"	127.5	-43.67	-339.9	9.5
"T1-H-44"	130.5	-42.29	-328.4	9.9
"T1-H-45"	133.5	-41.45	-322.3	9.3
"T1-H-46"	136.5	-40.25	-312.7	9.2
"T1-H-47"	139.5	-39.17	-304.7	8.7
"T1-H-48"	142.5	-39.55	-308.8	7.7
"T1-H-49"	145.5	-41.75	-329.1	4.9
"T1-H-50"	148.5	-44.49	-353.6	2.4
"T1-H-51"	151.5	-45.54	-360.2	4.1
"T1-H-52"	154.5	-45.15	-354.5	6.7
"T1-H-53"	157.5	-44.32	-346	8.6
"T1-H-54"	160.5	-43.24	-338.2	7.7
"T1-H-55"	163.5	-41.5	-327.1	4.8
"T1-H-56"	166.5	-39.04	-307.7	4.6
"T1-H-57"	169.5	-33.96	-257.4	14.3
"T1-H-58"	172.5	-36.05	-278.8	9.6
"T1-H-59"	175.5	-35.1	-267.2	13.6
"T1-H-60"	178.5	-39.59	-311.1	5.6
"T1-H-61"	181.5	-41.03	-321.8	6.5
"T1-H-62"	184.5	-42.13	-330.5	6.6
"T1-H-63"	187.5	-44.44	-350.6	5
"T1-H-64"	190.5	-47.57	-375	5.6
"T1-H-65"	193.5	-49.11	-386.2	6.7
"T1-H-66"	196.5	-49.79	-390.9	7.5
"T1-H-67"	199.5	-49.7	-390.8	6.8
"T1-H-68"	202.5	-48.25	-379.3	6.7
"T1-H-69"	205.5	-45.13	-353	8
"T1-H-70"	208.5	-42.13	-327.9	9.2
"T1-H-71"	211.5	-41.09	-321.5	7.2
"T1-H-72"	214.5	-41.37	-326.4	4.6
"T1-H-73"	217.5	-41.73	-328.9	5
"T1-H-74"	220.5	-42.58	-334.5	6.1
"T1-H-75"	223.5	-44.95	-354.6	5
