"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-K-01"	1.5			
"T1-K-02"	4.5			
"T1-K-03"	7.5			
"T1-K-04"	10.5			
"T1-K-05"	13.5			
"T1-K-06"	16.5	-39.02	-315.6	-3.4
"T1-K-07"	19.5	-45.18	-358.8	2.6
"T1-K-08"	22.5	-50.41	-396	7.3
"T1-K-09"	25.5	-51.93	-406.1	9.3
"T1-K-10"	28.5	-52.49	-409.4	10.6
"T1-K-11"	31.5	-53.32	-413	13.6
"T1-K-12"	34.5	-50.71	-393.9	11.8
"T1-K-13"	37.5	-42.19	-335.1	2.4
"T1-K-14"	40.5	-43.34	-346.3	0.5
"T1-K-15"	43.5	-46.42	-371.2	0.2
"T1-K-16"	46.5	-45.32	-356.9	5.7
"T1-K-17"	49.5	-42.76	-334.6	7.5
"T1-K-18"	52.5	-42.14	-328.6	8.5
"T1-K-19"	55.5	-42.42	-328.5	10.8
"T1-K-20"	58.5	-42.55	-332.2	8.2
"T1-K-21"	61.5	-42.58	-337.6	3
"T1-K-22"	64.5	-44.94	-356.5	3
"T1-K-23"	67.5	-46.82	-369.3	5.2
"T1-K-24"	70.5	-47.34	-371.2	7.5
"T1-K-25"	73.5	-46.15	-358.7	10.4
"T1-K-26"	76.5	-43.92	-341.2	10.2
"T1-K-27"	79.5	-43.2	-339.7	5.9
"T1-K-28"	82.5	-45.87	-363.8	3.1
"T1-K-29"	85.5	-47.78	-376.7	5.5
"T1-K-30"	88.5	-48.09	-375.9	8.8
"T1-K-31"	91.5	-48.29	-377	9.3
"T1-K-32"	94.5	-48.54	-379.2	9.1
"T1-K-33"	97.5	-46.72	-364.5	9.3
"T1-K-34"	100.5	-43.95	-343.3	8.3
"T1-K-35"	103.5	-43.12	-338.5	6.5
"T1-K-36"	106.5	-44.15	-349.1	4
"T1-K-37"	109.5	-45.54	-362.5	1.8
"T1-K-38"	112.5	-43.65	-344.4	4.8
"T1-K-39"	115.5	-41.06	-321.4	7.1
"T1-K-40"	118.5	-40.73	-321.9	4
"T1-K-41"	121.5	-40.63	-325.4	-0.3
"T1-K-42"	124.5	-43.24	-345.2	0.7
"T1-K-43"	127.5	-44.47	-350.8	4.9
"T1-K-44"	130.5	-43.6	-340.4	8.5
"T1-K-45"	133.5	-42.42	-330.6	8.8
"T1-K-46"	136.5	-41.49	-324	7.9
"T1-K-47"	139.5	-40.03	-312.9	7.3
"T1-K-48"	142.5	-38.97	-306.2	5.5
"T1-K-49"	145.5	-39.78	-316.9	1.3
"T1-K-50"	148.5	-41.89	-335.3	-0.2
"T1-K-51"	151.5	-44.16	-350.8	2.5
"T1-K-52"	154.5	-45.67	-361.5	3.9
"T1-K-53"	157.5	-45.79	-361.2	5.1
"T1-K-54"	160.5	-44.32	-348	6.6
"T1-K-55"	163.5	-41.7	-326.6	7
"T1-K-56"	166.5	-38.71	-302.9	6.8
"T1-K-57"	169.5	-36.58	-283.7	9
"T1-K-58"	172.5	-36.18	-279.4	10.1
"T1-K-59"	175.5	-38.45	-300.2	7.3
"T1-K-60"	178.5	-41.28	-325.7	4.6
"T1-K-61"	181.5	-42.13	-331.6	5.5
"T1-K-62"	184.5	-42.83	-337.6	5.1
"T1-K-63"	187.5	-45.01	-355.4	4.7
"T1-K-64"	190.5	-46.46	-366.4	5.3
"T1-K-65"	193.5	-46.93	-367.6	7.8
"T1-K-66"	196.5	-46.78	-364.4	9.9
"T1-K-67"	199.5	-46.72	-364	9.7
"T1-K-68"	202.5	-45.75	-356.5	9.5
"T1-K-69"	205.5	-42.58	-328.7	12
"T1-K-70"	208.5	-39.74	-304.4	13.6
"T1-K-71"	211.5	-38.48	-295.2	12.7
"T1-K-72"	214.5	-38.31	-294.3	12.2
"T1-K-73"	217.5	-38.59	-296.7	12
"T1-K-74"	220.5	-40.94	-318.5	9
"T1-K-75"	223.5	-45.42	-358.7	4.6
"T1-K-76"	226.5	-48.32	-382.1	4.5
"T1-K-77"	229.5	-49.11	-387.2	5.6
"T1-K-78"	232.5	-48.49	-381.4	6.5
"T1-K-79"	235.5	-46.46	-362.8	8.9
"T1-K-80"	238.5	-44.48	-345.3	10.5
"T1-K-81"	241.111111111111	-43.78	-340.7	9.5
"T1-K-82"	243.333333333333	-44.05	-343.2	9.2
"T1-K-83"	245.555555555556	-44.04	-342.9	9.4
"T1-K-84"	247.777777777778	-43.71	-340.9	8.7
"T1-K-85"	250	-43.23	-337.6	8.3
"T1-K-86"	252.222222222222	-42.86	-335.8	7.1
"T1-K-87"	254.444444444444	-42.81	-336	6.4
"T1-K-88"	256.666666666667	-42.85	-336.9	5.9
"T1-K-89"	258.888888888889	-42.3	-330.5	7.9
"T1-K-90"	261.111111111111	-41.55	-322.2	10.2
"T1-K-91"	263.333333333333	-41.49	-320.8	11.2
"T1-K-92"	265.555555555556	-42.34	-329.2	9.5
"T1-K-93"	267.777777777778	-43.96	-345.5	6.1
"T1-K-94"	270	-45.58	-361.8	2.8
"T1-K-95"	272.222222222222	-46.33	-368.9	1.7
"T1-K-96"	274.444444444444	-45.72	-362.9	2.8
"T1-K-97"	276.666666666667	-43.94	-345.4	6.1
"T1-K-98"	278.888888888889	-41.77	-324.3	9.9
"T1-K-99"	281.111111111111	-40.22	-309.8	11.9
"T1-K-100"	283.333333333333	-39.35	-303.4	11.5
"T1-K-101"	285.555555555556	-38.77	-299.9	10.3
"T1-K-102"	287.777777777778	-37.94	-293.4	10.1
"T1-K-103"	290	-37.13	-286.5	10.5
"T1-K-104"	292.222222222222	-36.73	-283.2	10.7
"T1-K-105"	294.444444444444	-37.16	-287.8	9.5
"T1-K-106"	296.666666666667	-38.13	-296.9	8.1
"T1-K-107"	298.888888888889	-39.51	-309.4	6.7
"T1-K-108"	301.111111111111	-41.25	-324.6	5.4
"T1-K-109"	303.333333333333	-42.79	-337.8	4.4
"T1-K-110"	305.555555555556	-43.9	-346.6	4.6
"T1-K-111"	307.777777777778	-44.6	-352.4	4.4
"T1-K-112"	310	-45.06	-356.1	4.4
"T1-K-113"	312.222222222222	-45.32	-358	4.6
"T1-K-114"	314.444444444444	-45.55	-359.5	4.9
"T1-K-115"	316.666666666667	-45.91	-362.3	5
"T1-K-116"	318.888888888889	-45.99	-362.3	5.6
"T1-K-117"	321.111111111111	-45.72	-359.7	6.1
"T1-K-118"	323.333333333333	-45.24	-356.1	5.8
"T1-K-119"	325.555555555556	-44.64	-352	5.2
"T1-K-120"	327.777777777778	-44.3	-350.3	4.1
"T1-K-121"	330	-44.19	-349.7	3.8
