"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-L-01"	1.5			
"T1-L-02"	4.5			
"T1-L-03"	7.5			
"T1-L-04"	10.5			
"T1-L-05"	13.5			
"T1-L-06"	16.5	-45.24	-356.5	5.5
"T1-L-07"	19.5	-49.49	-388.1	7.8
"T1-L-08"	22.5	-51.88	-405.8	9.2
"T1-L-09"	25.5	-52.16	-407.7	9.5
"T1-L-10"	28.5	-52.22	-408.2	9.5
"T1-L-11"	31.5	-49.3	-385.3	9.2
"T1-L-12"	34.5	-43.5	-343.1	4.9
"T1-L-13"	37.5	-41.32	-328.8	1.8
"T1-L-14"	40.5	-42.59	-336.9	3.8
"T1-L-15"	43.5	-41.3	-322.4	8
"T1-L-16"	46.5	-40.38	-313.5	9.5
"T1-L-17"	49.5	-41.63	-323.7	9.4
"T1-L-18"	52.5	-43.2	-335.1	10.5
"T1-L-19"	55.5	-41.87	-324.6	10.3
"T1-L-20"	58.5	-39.02	-308.3	3.8
"T1-L-21"	61.5	-39.76	-319.5	-1.4
"T1-L-22"	64.5	-43.43	-347.3	0.1
"T1-L-23"	67.5	-45.52	-362.8	1.4
"T1-L-24"	70.5	-43.8	-345.8	4.6
"T1-L-25"	73.5	-40.49	-315.1	8.8
"T1-L-26"	76.5	-40.55	-317	7.4
"T1-L-27"	79.5	-46.03	-364.8	3.4
"T1-L-28"	82.5	-48.85	-387.4	3.3
"T1-L-29"	85.5	-48.45	-384	3.6
"T1-L-30"	88.5	-47.99	-379.2	4.6
"T1-L-31"	91.5	-48.05	-376.9	7.5
"T1-L-32"	94.5	-47.56	-372.2	8.3
"T1-L-33"	97.5	-44.5	-346.4	9.7
"T1-L-34"	100.5	-42.65	-331.8	9.4
"T1-L-35"	103.5	-42.31	-332.9	5.6
"T1-L-36"	106.5	-41.43	-328.4	3.1
"T1-L-37"	109.5	-41.42	-327.4	4
"T1-L-38"	112.5	-41.13	-323.1	6
"T1-L-39"	115.5	-40.74	-318.6	7.3
"T1-L-40"	118.5	-41.08	-323.4	5.2
"T1-L-41"	121.5	-42.04	-333.3	3
"T1-L-42"	124.5	-43.92	-349.5	1.8
"T1-L-43"	127.5	-45.77	-362.5	3.6
"T1-L-44"	130.5	-45.81	-360.3	6.2
"T1-L-45"	133.5	-43.7	-340.1	9.6
"T1-L-46"	136.5	-41.89	-325.9	9.2
"T1-L-47"	139.5	-41.27	-322.8	7.4
"T1-L-48"	142.5	-40.7	-319.5	6.2
"T1-L-49"	145.5	-41.4	-326.4	4.7
"T1-L-50"	148.5	-44.13	-349.1	4
"T1-L-51"	151.5	-46.81	-369.9	4.6
"T1-L-52"	154.5	-47.65	-375	6.2
"T1-L-53"	157.5	-46.04	-359.2	9.1
"T1-L-54"	160.5	-44.63	-346	11
"T1-L-55"	163.5	-44.19	-342.3	11.2
"T1-L-56"	166.5	-43.24	-336.4	9.5
"T1-L-57"	169.5	-40.79	-317.7	8.6
"T1-L-58"	172.5	-39.12	-301.7	11.3
"T1-L-59"	175.5	-39.92	-307.6	11.8
"T1-L-60"	178.5	-43.69	-339.4	10.1
"T1-L-61"	181.5	-45.5	-354.6	9.4
"T1-L-62"	184.5	-44.84	-350.2	8.5
"T1-L-63"	187.5	-42.44	-330.5	9
"T1-L-64"	190.5	-42.03	-328.4	7.8
"T1-L-65"	193.5	-43.23	-339.9	6
"T1-L-66"	196.5	-44.37	-349.8	5.1
"T1-L-67"	199.5	-44.25	-347.4	6.6
"T1-L-68"	202.5	-42.75	-332.3	9.8
"T1-L-69"	205.5	-41.38	-319.9	11.1
