"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-M-01"	1.5			
"T1-M-02"	4.5			
"T1-M-03"	7.5			
"T1-M-04"	10.5			
"T1-M-05"	13.5	-38.48	-313.4	-5.6
"T1-M-06"	16.5	-39.63	-321.2	-4.1
"T1-M-07"	19.5	-48.48	-385.1	2.7
"T1-M-08"	22.5	-51.87	-406.5	8.5
"T1-M-09"	25.5	-51.67	-404.3	9.1
"T1-M-10"	28.5	-48.74	-381	8.9
"T1-M-11"	31.5	-45.48	-356.4	7.4
"T1-M-12"	34.5	-43.52	-343.8	4.4
"T1-M-13"	37.5	-46.47	-369.8	1.9
"T1-M-14"	40.5	-48.7	-383.2	6.4
"T1-M-15"	43.5	-46.96	-369.2	6.5
"T1-M-16"	46.5	-44.34	-347.1	7.7
"T1-M-17"	49.5	-43.02	-335.2	9
"T1-M-18"	52.5	-43.29	-339.5	6.8
"T1-M-19"	55.5	-43.64	-342	7.1
"T1-M-20"	58.5	-43.13	-337.6	7.4
"T1-M-21"	61.5	-41.62	-330	2.9
"T1-M-22"	64.5	-45.15	-360	1.2
"T1-M-23"	67.5	-48.81	-385.8	4.7
"T1-M-24"	70.5	-51.79	-406.7	7.6
"T1-M-25"	73.5	-51.22	-400.5	9.2
"T1-M-26"	76.5	-47.3	-369.8	8.6
"T1-M-27"	79.5	-44.17	-347.9	5.4
"T1-M-28"	82.5	-44.17	-352.4	1
"T1-M-29"	85.5	-44.88	-358.5	0.5
"T1-M-30"	88.5	-45.44	-362.2	1.3
"T1-M-31"	91.5	-45.61	-361.3	3.6
"T1-M-32"	94.5	-43.94	-344.2	7.4
"T1-M-33"	97.5	-42.35	-331	7.8
"T1-M-34"	100.5	-41.42	-324.7	6.6
"T1-M-35"	103.5	-40.66	-320.3	5
"T1-M-36"	106.5	-42	-329.1	6.9
"T1-M-37"	109.5	-41.25	-322.4	7.6
"T1-M-38"	112.5	-41.63	-325.1	7.9
"T1-M-39"	115.5	-43	-338.3	5.7
"T1-M-40"	118.5	-43.5	-343.6	4.4
"T1-M-41"	121.5	-44.93	-354.4	5
"T1-M-42"	124.5	-46.22	-362.5	7.2
"T1-M-43"	127.5	-46.13	-359.7	9.3
"T1-M-44"	130.5	-45.07	-349.5	11.1
"T1-M-45"	133.5	-44.17	-342.6	10.8
"T1-M-46"	136.5	-44.12	-345.4	7.6
"T1-M-47"	139.5	-42.7	-334.1	7.5
"T1-M-48"	142.5	-42.48	-333.5	6.3
"T1-M-49"	145.5	-44.11	-349.1	3.8
"T1-M-50"	148.5	-46.28	-365.9	4.4
"T1-M-51"	151.5	-48.57	-381.7	6.8
"T1-M-52"	154.5	-50.67	-398.6	6.7
"T1-M-53"	157.5	-49.8	-390.3	8
"T1-M-54"	160.5	-46.92	-366.1	9.3
"T1-M-55"	163.5	-44.09	-344.1	8.6
"T1-M-56"	166.5	-40.84	-320.1	6.6
"T1-M-57"	169.5	-38.32	-298.8	7.8
"T1-M-58"	172.5	-37.45	-288.9	10.7
"T1-M-59"	175.5	-41.46	-324.9	6.8
"T1-M-60"	178.5	-45.73	-363.7	2.1
"T1-M-61"	181.5	-45.14	-356.8	4.3
"T1-M-62"	184.5	-42.36	-331	7.9
"T1-M-63"	187.5	-40.63	-317	8
"T1-M-64"	190.5	-41.12	-322.5	6.4
"T1-M-65"	193.5	-42.45	-335.1	4.4
"T1-M-66"	196.5	-44.49	-352.5	3.5
"T1-M-67"	199.5	-45.97	-364.8	2.9
"T1-M-68"	202.5	-46.93	-371.4	4.1
"T1-M-69"	205.5	-46.09	-361.3	7.5
"T1-M-70"	208.5	-44.54	-344.9	11.4
"T1-M-71"	211.5	-43.96	-341.5	10.2
"T1-M-72"	214.5	-43.8	-341.7	8.7
"T1-M-73"	217.5	-43.97	-344.9	6.9
"T1-M-74"	220.5	-44.76	-351.8	6.3
"T1-M-75"	223.5	-44.09	-344.4	8.3
"T1-M-76"	226.5	-43.23	-336.6	9.3
"T1-M-77"	229.5	-43.21	-338.2	7.5
"T1-M-78"	232.5	-44.26	-347.7	6.4
"T1-M-79"	235.5	-45.02	-351.8	8.3
"T1-M-80"	238.5	-45.12	-352	9
"T1-M-81"	241.111111111111	-44.79	-349.8	8.5
"T1-M-82"	243.333333333333	-45.81	-359.4	7.1
