"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-N-01"	1.5			
"T1-N-02"	4.5			
"T1-N-03"	7.5			
"T1-N-04"	10.5			
"T1-N-05"	13.5	-43.61	-349.9	-1
"T1-N-06"	16.5	-48.61	-384.3	4.6
"T1-N-07"	19.5	-47.67	-375.5	5.8
"T1-N-08"	22.5	-49.36	-387.5	7.4
"T1-N-09"	25.5	-44.05	-346	6.4
"T1-N-10"	28.5	-42.19	-333.7	3.8
"T1-N-11"	31.5	-42.16	-334.1	3.2
"T1-N-12"	34.5	-43.87	-348.4	2.5
"T1-N-13"	37.5	-49.1	-386.6	6.2
"T1-N-14"	40.5	-51.05	-399.3	9.1
"T1-N-15"	43.5	-49.02	-381.9	10.3
"T1-N-16"	46.5	-44.6	-345.2	11.6
"T1-N-17"	49.5	-43.75	-339.9	10.1
"T1-N-18"	52.5	-44.72	-348.8	9
"T1-N-19"	55.5	-44.56	-348	8.5
"T1-N-20"	58.5	-41.79	-326.9	7.4
"T1-N-21"	61.5	-40.09	-318.4	2.3
"T1-N-22"	64.5	-44.91	-358.6	0.6
"T1-N-23"	67.5	-48.53	-384.4	3.8
"T1-N-24"	70.5	-50.44	-396	7.5
"T1-N-25"	73.5	-50.33	-394.5	8.1
"T1-N-26"	76.5	-47.99	-375.7	8.2
"T1-N-27"	79.5	-43.99	-343.6	8.3
"T1-N-28"	82.5	-42.36	-331.4	7.5
"T1-N-29"	85.5	-43.24	-340.6	5.3
"T1-N-30"	88.5	-45.97	-362.4	5.4
"T1-N-31"	91.5	-46.49	-365.6	6.4
"T1-N-32"	94.5	-45.18	-355.1	6.3
"T1-N-33"	97.5	-43.46	-341.1	6.5
"T1-N-34"	100.5	-42.87	-337.3	5.7
"T1-N-35"	103.5	-44.27	-347.7	6.5
"T1-N-36"	106.5	-46.48	-364.7	7.1
"T1-N-37"	109.5	-46.32	-362.2	8.4
"T1-N-38"	112.5	-44.63	-347.9	9.2
"T1-N-39"	115.5	-44.34	-348.7	6
"T1-N-40"	118.5	-43.4	-343.6	3.6
"T1-N-41"	121.5	-43.44	-344.7	2.7
"T1-N-42"	124.5	-44.08	-348.7	3.9
"T1-N-43"	127.5	-43.38	-338.3	8.7
"T1-N-44"	130.5	-41.38	-318.3	12.8
"T1-N-45"	133.5	-40.24	-308.3	13.6
"T1-N-46"	136.5	-39.89	-306.2	13
"T1-N-47"	139.5	-39.91	-308.5	10.7
"T1-N-48"	142.5	-39.96	-311.3	8.4
"T1-N-49"	145.5	-40.11	-314.1	6.9
"T1-N-50"	148.5	-41.31	-325.9	4.6
"T1-N-51"	151.5	-42.83	-337.6	5.1
"T1-N-52"	154.5	-43.46	-340.6	7.1
"T1-N-53"	157.5	-42.73	-334.1	7.7
"T1-N-54"	160.5	-40.26	-314.3	7.8
"T1-N-55"	163.5	-36.92	-286	9.4
"T1-N-56"	166.5	-34.33	-261.5	13.2
"T1-N-57"	169.5	-34.6	-263	13.7
"T1-N-58"	172.5	-37.84	-293.1	9.6
"T1-N-59"	175.5	-42.34	-333.7	5.1
"T1-N-60"	178.5	-44.64	-349.5	7.6
"T1-N-61"	181.5	-44.75	-345.9	12.1
"T1-N-62"	184.5	-44.42	-343.4	12
"T1-N-63"	187.5	-43.44	-337.2	10.3
"T1-N-64"	190.5	-42.96	-334.8	8.9
"T1-N-65"	193.5	-44.3	-348.5	5.9
"T1-N-66"	196.5	-46.6	-370.2	2.7
"T1-N-67"	199.5	-47.99	-383.5	0.5
"T1-N-68"	202.5	-47.84	-383.7	-1
"T1-N-69"	205.5	-46.67	-374.6	-1.2
"T1-N-70"	208.5	-45.64	-366.8	-1.6
"T1-N-71"	211.5	-44.66	-357.8	-0.6
"T1-N-72"	214.5	-43.87	-347.6	3.4
"T1-N-73"	217.5	-44.28	-347.8	6.4
"T1-N-74"	220.5	-46.48	-366.6	5.3
"T1-N-75"	223.5	-48.35	-382.1	4.7
"T1-N-76"	226.5	-48.91	-387.3	4.1
"T1-N-77"	229.5	-48.68	-386.4	3.1
"T1-N-78"	232.5	-47.6	-376.2	4.6
"T1-N-79"	235.5	-46.17	-361.7	7.7
"T1-N-80"	238.5	-45.72	-357.7	8.1
"T1-N-81"	241.111111111111	-44.91	-349.7	9.6
"T1-N-82"	243.333333333333	-44.83	-348.8	9.9
"T1-N-83"	245.555555555556	-44.75	-348.8	9.2
"T1-N-84"	247.777777777778	-44.62	-349	8
"T1-N-85"	250	-44.53	-350.5	5.8
"T1-N-86"	252.222222222222	-44.78	-354.3	3.9
"T1-N-87"	254.444444444444	-45.11	-357.7	3.2
"T1-N-88"	256.666666666667	-44.51	-351.6	4.5
"T1-N-89"	258.888888888889	-43.12	-337.5	7.5
"T1-N-90"	261.111111111111	-41.65	-323.8	9.4
"T1-N-91"	263.333333333333	-41.09	-319.5	9.3
"T1-N-92"	265.555555555556	-41.93	-328.8	6.6
"T1-N-93"	267.777777777778	-43.61	-345.2	3.6
"T1-N-94"	270	-45.44	-361.2	2.3
"T1-N-95"	272.222222222222	-46.6	-370.4	2.4
"T1-N-96"	274.444444444444	-46.79	-370.7	3.6
"T1-N-97"	276.666666666667	-46.06	-362.8	5.6
"T1-N-98"	278.888888888889	-44.68	-349.3	8.1
"T1-N-99"	281.111111111111	-43.08	-334.5	10.1
"T1-N-100"	283.333333333333	-41.82	-324	10.5
"T1-N-101"	285.555555555556	-41	-319.1	8.9
"T1-N-102"	287.777777777778	-40.32	-314.9	7.7
"T1-N-103"	290	-39.86	-312.1	6.8
"T1-N-104"	292.222222222222	-40.07	-315.5	5.1
"T1-N-105"	294.444444444444	-41.08	-324.5	4.1
"T1-N-106"	296.666666666667	-42.3	-335.8	2.6
"T1-N-107"	298.888888888889	-43.33	-344.1	2.5
"T1-N-108"	301.111111111111	-43.78	-346.9	3.4
"T1-N-109"	303.333333333333	-43.8	-345.9	4.6
"T1-N-110"	305.555555555556	-43.81	-344.9	5.5
"T1-N-111"	307.777777777778	-44.13	-347	6
"T1-N-112"	310	-44.75	-351.9	6.1
"T1-N-113"	312.222222222222	-45.21	-355.2	6.5
"T1-N-114"	314.444444444444	-45.14	-354.8	6.4
"T1-N-115"	316.666666666667	-45.05	-353.1	7.3
"T1-N-116"	318.888888888889	-44.81	-351	7.5
"T1-N-117"	321.111111111111	-44.61	-348.9	8
"T1-N-118"	323.333333333333	-44.26	-346.4	7.7
"T1-N-119"	325.555555555556	-44.28	-346.9	7.4
"T1-N-120"	327.777777777778	-44.63	-349.2	7.9
"T1-N-121"	330	-45.22	-354	7.8
"T1-N-122"	332.222222222222	-46.05	-361.7	6.7
