"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-O-01"	1.5			
"T1-O-02"	4.5			
"T1-O-03"	7.5			
"T1-O-04"	10.5			
"T1-O-05"	13.5	-45.27	-358.6	3.6
"T1-O-06"	16.5	-44.94	-355.2	4.4
"T1-O-07"	19.5	-46.36	-366.1	4.8
"T1-O-08"	22.5	-50.64	-397.8	7.3
"T1-O-09"	25.5	-52.32	-407.1	11.5
"T1-O-10"	28.5	-51.97	-403.9	11.9
"T1-O-11"	31.5	-47.24	-370.1	7.9
"T1-O-12"	34.5	-44.96	-355.8	3.9
"T1-O-13"	37.5	-45.11	-355.8	5.1
"T1-O-14"	40.5	-46.11	-362.8	6.1
"T1-O-15"	43.5	-49.43	-386.8	8.6
"T1-O-16"	46.5	-47.53	-370.1	10.1
"T1-O-17"	49.5	-47.24	-369.2	8.7
"T1-O-18"	52.5	-47.13	-368.8	8.3
"T1-O-19"	55.5	-46.14	-358.8	10.3
"T1-O-20"	58.5	-45.52	-353.5	10.7
"T1-O-21"	61.5	-45.39	-356.4	6.6
"T1-O-22"	64.5	-48.34	-379.7	7
"T1-O-23"	67.5	-49.87	-389.7	9.3
"T1-O-24"	70.5	-51.04	-398.5	9.8
"T1-O-25"	73.5	-49.5	-386.3	9.7
"T1-O-26"	76.5	-44.68	-348.9	8.5
"T1-O-27"	79.5	-40.88	-323.3	3.7
"T1-O-28"	82.5	-39.54	-315.4	0.9
"T1-O-29"	85.5	-41.71	-331.4	2.3
"T1-O-30"	88.5	-45.19	-357.2	4.4
"T1-O-31"	91.5	-47.12	-369.8	7.2
"T1-O-32"	94.5	-47.18	-370.5	6.9
"T1-O-33"	97.5	-46.04	-362	6.4
"T1-O-34"	100.5	-44.82	-352.5	6.1
"T1-O-35"	103.5	-45.91	-364.3	3
"T1-O-36"	106.5	-47.41	-378.1	1.2
"T1-O-37"	109.5	-46.86	-371.2	3.7
"T1-O-38"	112.5	-45.03	-353	7.2
"T1-O-39"	115.5	-44.5	-349.6	6.4
"T1-O-40"	118.5	-44.09	-347.7	5
"T1-O-41"	121.5	-42.12	-334.2	2.8
"T1-O-42"	124.5	-43.64	-346.4	2.8
"T1-O-43"	127.5	-44.05	-347	5.5
"T1-O-44"	130.5	-42.85	-332.9	9.9
"T1-O-45"	133.5	-41.32	-317.7	12.9
"T1-O-46"	136.5	-41.1	-316.9	11.9
"T1-O-47"	139.5	-41.69	-325.1	8.4
"T1-O-48"	142.5	-41.8	-328.2	6.2
"T1-O-49"	145.5	-41.11	-322.4	6.5
"T1-O-50"	148.5	-41.86	-328.6	6.3
"T1-O-51"	151.5	-45.3	-357	5.4
"T1-O-52"	154.5	-48.96	-385.2	6.5
"T1-O-53"	157.5	-50.41	-396.6	6.7
"T1-O-54"	160.5	-47.55	-374	6.4
"T1-O-55"	163.5	-42.06	-330.3	6.2
"T1-O-56"	166.5	-37.06	-288.2	8.3
"T1-O-57"	169.5	-35.04	-268.8	11.5
"T1-O-58"	172.5	-36.64	-281.2	12
"T1-O-59"	175.5	-41.01	-319.9	8.2
"T1-O-60"	178.5	-44.73	-349.9	8
"T1-O-61"	181.5	-44.78	-346.1	12.1
"T1-O-62"	184.5	-44.41	-341.5	13.7
"T1-O-63"	187.5	-44.5	-345	11
"T1-O-64"	190.5	-43.75	-341.8	8.2
"T1-O-65"	193.5	-43.44	-340.8	6.8
"T1-O-66"	196.5	-44.58	-350.5	6.2
"T1-O-67"	199.5	-46.34	-364.7	6.1
"T1-O-68"	202.5	-47.44	-374.2	5.4
"T1-O-69"	205.5	-46.92	-369.4	6
"T1-O-70"	208.5	-44.97	-350.6	9.2
"T1-O-71"	211.5	-43.05	-332.4	12
"T1-O-72"	214.5	-42.51	-327.6	12.5
"T1-O-73"	217.5	-43.05	-333.6	10.8
"T1-O-74"	220.5	-43.78	-340.8	9.5
"T1-O-75"	223.5	-44.45	-348.7	6.9
"T1-O-76"	226.5	-46.31	-366.4	4
"T1-O-77"	229.5	-47.3	-374.3	4
"T1-O-78"	232.5	-47.17	-371.2	6.1
"T1-O-79"	235.5	-47.49	-372.4	7.5
"T1-O-80"	238.5	-48.4	-379.4	7.8
"T1-O-81"	241.111111111111	-48.14	-377.6	7.6
"T1-O-82"	243.333333333333	-48.19	-377.7	7.8
"T1-O-83"	245.555555555556	-47.7	-373.2	8.5
"T1-O-84"	247.777777777778	-46.5	-363.7	8.4
"T1-O-85"	250	-45.28	-354.3	7.9
"T1-O-86"	252.222222222222	-44.29	-346.4	7.9
"T1-O-87"	254.444444444444	-43.76	-341.9	8.2
"T1-O-88"	256.666666666667	-44.23	-346.3	7.5
"T1-O-89"	258.888888888889	-45.68	-359.3	6.1
"T1-O-90"	261.111111111111	-47.17	-372.5	4.9
"T1-O-91"	263.333333333333	-48.36	-383.4	3.5
"T1-O-92"	265.555555555556	-48.85	-386.8	4
"T1-O-93"	267.777777777778	-48.68	-384.6	4.9
"T1-O-94"	270	-48.67	-383.5	5.8
"T1-O-95"	272.222222222222	-48.63	-383	6.1
"T1-O-96"	274.444444444444	-48.33	-380.8	5.9
"T1-O-97"	276.666666666667	-47.63	-374.9	6.1
"T1-O-98"	278.888888888889	-46.32	-363.6	7
"T1-O-99"	281.111111111111	-44.29	-345.6	8.7
"T1-O-100"	283.333333333333	-41.66	-322.2	11.1
"T1-O-101"	285.555555555556	-39.44	-303.1	12.4
"T1-O-102"	287.777777777778	-38.24	-294.2	11.8
"T1-O-103"	290	-37.96	-292.9	10.8
