"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-P-01"	1.5			
"T1-P-02"	4.5			
"T1-P-03"	7.5			
"T1-P-04"	10.5			
"T1-P-05"	13.5			
"T1-P-06"	16.5	-38.4	-311.4	-4.2
"T1-P-07"	19.5	-48.19	-383.5	2
"T1-P-08"	22.5	-50.78	-398.7	7.5
"T1-P-09"	25.5	-46.32	-362.3	8.2
"T1-P-10"	28.5	-43.54	-341.7	6.6
"T1-P-11"	31.5	-44.32	-347.9	6.7
"T1-P-12"	34.5	-43.36	-344.4	2.5
"T1-P-13"	37.5	-44.7	-354.5	3
"T1-P-14"	40.5	-46.26	-368.1	1.9
"T1-P-15"	43.5	-47.63	-379.8	1.2
"T1-P-16"	46.5	-46.11	-363.5	5.4
"T1-P-17"	49.5	-44.89	-349.7	9.4
"T1-P-18"	52.5	-45.49	-354.8	9.2
"T1-P-19"	55.5	-43.67	-341.5	7.8
"T1-P-20"	58.5	-39.5	-314.2	1.8
"T1-P-21"	61.5	-42.43	-338.6	0.8
"T1-P-22"	64.5	-46.93	-371.4	4
"T1-P-23"	67.5	-49.07	-385.9	6.7
"T1-P-24"	70.5	-49.07	-385.5	7.1
"T1-P-25"	73.5	-48.14	-379.2	5.9
"T1-P-26"	76.5	-46.33	-366.1	4.6
"T1-P-27"	79.5	-43.72	-343.8	6
"T1-P-28"	82.5	-40.69	-322.4	3.2
"T1-P-29"	85.5	-40.63	-324.4	0.6
"T1-P-30"	88.5	-43.97	-351	0.7
"T1-P-31"	91.5	-46.03	-365.3	3
"T1-P-32"	94.5	-46.31	-364.4	6.1
"T1-P-33"	97.5	-44.55	-348.8	7.6
"T1-P-34"	100.5	-42.22	-330.2	7.5
"T1-P-35"	103.5	-40.33	-318.4	4.3
"T1-P-36"	106.5	-40.01	-318.7	1.4
"T1-P-37"	109.5	-41.53	-329.6	2.6
"T1-P-38"	112.5	-42.52	-336.3	3.9
"T1-P-39"	115.5	-41.37	-326	4.9
"T1-P-40"	118.5	-39.97	-317.7	2.1
"T1-P-41"	121.5	-39.7	-319.1	-1.5
"T1-P-42"	124.5	-41.84	-334.3	0.5
"T1-P-43"	127.5	-43.65	-345.4	3.8
"T1-P-44"	130.5	-43.16	-337.8	7.4
"T1-P-45"	133.5	-41.5	-320.8	11.2
"T1-P-46"	136.5	-40.35	-310.4	12.4
"T1-P-47"	139.5	-40	-308.9	11.1
"T1-P-48"	142.5	-40.08	-311.4	9.2
"T1-P-49"	145.5	-39.96	-311.1	8.6
"T1-P-50"	148.5	-40.71	-317.1	8.6
"T1-P-51"	151.5	-43.34	-340.7	6
"T1-P-52"	154.5	-45.94	-363.5	4
"T1-P-53"	157.5	-46.32	-366.4	4.2
"T1-P-54"	160.5	-45.43	-357.9	5.5
"T1-P-55"	163.5	-43.57	-341.8	6.7
"T1-P-56"	166.5	-41.51	-326.2	5.9
"T1-P-57"	169.5	-38.69	-304.8	4.8
"T1-P-58"	172.5	-35.95	-280.7	6.9
"T1-P-59"	175.5	-33.37	-255	11.9
"T1-P-60"	178.5	-33.33	-250.6	16
"T1-P-61"	181.5	-38.85	-301.1	9.7
"T1-P-62"	184.5	-43.98	-345.1	6.7
"T1-P-63"	187.5	-45.03	-350.7	9.5
"T1-P-64"	190.5	-44.86	-349.8	9.1
"T1-P-65"	193.5	-43.69	-341.3	8.2
"T1-P-66"	196.5	-43.94	-344.3	7.2
"T1-P-67"	199.5	-45.63	-358.9	6.2
"T1-P-68"	202.5	-47.45	-373.5	6.1
"T1-P-69"	205.5	-48.06	-378.9	5.6
"T1-P-70"	208.5	-48.41	-381.8	5.5
"T1-P-71"	211.5	-48.67	-383.7	5.6
"T1-P-72"	214.5	-48.6	-383.3	5.5
"T1-P-73"	217.5	-47.4	-372.4	6.7
"T1-P-74"	220.5	-45.83	-357.8	8.9
"T1-P-75"	223.5	-45.59	-356.3	8.5
"T1-P-76"	226.5	-47.05	-369.4	7
"T1-P-77"	229.5	-48.26	-380	6.1
"T1-P-78"	232.5	-47.37	-371.4	7.5
"T1-P-79"	235.5	-45.4	-353.2	10
"T1-P-80"	238.5	-44.23	-343.7	10.2
"T1-P-81"	241.111111111111	-44.27	-347.4	6.7
"T1-P-82"	243.333333333333	-45.12	-355.6	5.3
"T1-P-83"	245.555555555556	-45.96	-362.6	5.1
"T1-P-84"	247.777777777778	-46.27	-364.7	5.4
"T1-P-85"	250	-46.07	-362.8	5.8
"T1-P-86"	252.222222222222	-45.33	-357.1	5.5
"T1-P-87"	254.444444444444	-44.34	-349.6	5.1
"T1-P-88"	256.666666666667	-43.61	-345.3	3.6
"T1-P-89"	258.888888888889	-44.13	-350.8	2.2
"T1-P-90"	261.111111111111	-45.42	-361.8	1.6
"T1-P-91"	263.333333333333	-46.18	-366.9	2.5
"T1-P-92"	265.555555555556	-45.86	-362.5	4.4
"T1-P-93"	267.777777777778	-45.19	-355.7	5.8
"T1-P-94"	270	-45.01	-354	6.1
"T1-P-95"	272.222222222222	-45.06	-354.7	5.8
"T1-P-96"	274.444444444444	-44.82	-352.5	6
"T1-P-97"	276.666666666667	-44.22	-347	6.8
"T1-P-98"	278.888888888889	-42.83	-334	8.6
"T1-P-99"	281.111111111111	-40.88	-315.8	11.2
"T1-P-100"	283.333333333333	-39.15	-300.3	12.9
"T1-P-101"	285.555555555556	-37.99	-290.6	13.4
"T1-P-102"	287.777777777778	-37.31	-286	12.5
"T1-P-103"	290	-37.15	-285.2	11.9
"T1-P-104"	292.222222222222	-37.38	-288	11
"T1-P-105"	294.444444444444	-38.31	-296.7	9.9
"T1-P-106"	296.666666666667	-40.03	-312.2	8.1
"T1-P-107"	298.888888888889	-42.48	-333.4	6.4
"T1-P-108"	301.111111111111	-44.71	-351.8	5.9
"T1-P-109"	303.333333333333	-46.71	-367.4	6.3
"T1-P-110"	305.555555555556	-48.29	-379.4	6.9
"T1-P-111"	307.777777777778	-49.16	-385.4	7.9
"T1-P-112"	310	-49.16	-385.6	7.6
"T1-P-113"	312.222222222222	-48.35	-379.6	7.1
"T1-P-114"	314.444444444444	-47.25	-371.6	6.5
"T1-P-115"	316.666666666667	-46.32	-365.1	5.5
"T1-P-116"	318.888888888889	-45.83	-361	5.6
"T1-P-117"	321.111111111111	-45.34	-356.2	6.5
"T1-P-118"	323.333333333333	-44.84	-350.8	7.9
"T1-P-119"	325.555555555556	-44.49	-346.9	9
"T1-P-120"	327.777777777778	-44.44	-347	8.5
"T1-P-121"	330	-44.77	-351.3	6.8
"T1-P-122"	332.222222222222	-45.28	-357.8	4.5
"T1-P-123"	334.444444444444	-45.87	-364.5	2.4
"T1-P-124"	336.666666666667	-46.36	-370.2	0.7
"T1-P-125"	338.888888888889	-46.63	-372.9	0.2
