"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-R-01"	1.5			
"T1-R-02"	4.5			
"T1-R-03"	7.5			
"T1-R-04"	10.5			
"T1-R-05"	13.5			
"T1-R-06"	16.5	-44.33	-357	-2.4
"T1-R-07"	19.5	-51.22	-403.4	6.4
"T1-R-08"	22.5	-53.17	-414.2	11.2
"T1-R-09"	25.5	-54.1	-419.7	13.2
"T1-R-10"	28.5	-50.58	-393.8	10.8
"T1-R-11"	31.5	-49.45	-387.5	8.1
"T1-R-12"	34.5	-47	-373.3	2.7
"T1-R-13"	37.5	-48.6	-389	-0.2
"T1-R-14"	40.5	-48.84	-388.2	2.5
"T1-R-15"	43.5	-47.29	-373	5.3
"T1-R-16"	46.5	-45.75	-358.9	7.1
"T1-R-17"	49.5	-45.18	-352.5	9
"T1-R-18"	52.5	-46.15	-361.4	7.8
"T1-R-19"	55.5	-50.09	-393.6	7.2
"T1-R-20"	58.5	-51.66	-403.9	9.4
"T1-R-21"	61.5	-50.61	-396	8.9
"T1-R-22"	64.5	-48.62	-383.1	5.8
"T1-R-23"	67.5	-47.89	-379.4	3.8
"T1-R-24"	70.5	-47.92	-380.6	2.8
"T1-R-25"	73.5	-47.68	-377.7	3.7
"T1-R-26"	76.5	-46.3	-363.7	6.6
"T1-R-27"	79.5	-43.92	-342.2	9.2
"T1-R-28"	82.5	-41.86	-325.4	9.5
"T1-R-29"	85.5	-41	-321.3	6.7
"T1-R-30"	88.5	-42.97	-340.1	3.7
"T1-R-31"	91.5	-45.59	-359.7	5
"T1-R-32"	94.5	-46.92	-368.1	7.3
"T1-R-33"	97.5	-46.19	-363.7	5.9
"T1-R-34"	100.5	-44.45	-351	4.6
"T1-R-35"	103.5	-41.64	-326.3	6.8
"T1-R-36"	106.5	-40.82	-319.6	6.9
"T1-R-37"	109.5	-44.3	-350.6	3.8
"T1-R-38"	112.5	-45.95	-362.3	5.3
"T1-R-39"	115.5	-44.08	-344.4	8.3
"T1-R-40"	118.5	-41.5	-323	9
"T1-R-41"	121.5	-40.61	-318.4	6.5
"T1-R-42"	124.5	-40.44	-320.3	3.2
"T1-R-43"	127.5	-42.04	-334.9	1.5
"T1-R-44"	130.5	-43.51	-343.1	5
"T1-R-45"	133.5	-43.57	-341.9	6.6
"T1-R-46"	136.5	-42.69	-333.2	8.3
"T1-R-47"	139.5	-41.57	-324.1	8.4
"T1-R-48"	142.5	-40.27	-313.6	8.5
"T1-R-49"	145.5	-39.55	-307.7	8.7
"T1-R-50"	148.5	-41.55	-327.4	4.9
"T1-R-51"	151.5	-45.59	-362.4	2.3
"T1-R-52"	154.5	-47.71	-378.2	3.5
"T1-R-53"	157.5	-47.05	-371.6	4.8
"T1-R-54"	160.5	-45.02	-353	7.2
"T1-R-55"	163.5	-43.06	-335.9	8.5
"T1-R-56"	166.5	-40.96	-319.3	8.3
"T1-R-57"	169.5	-39.91	-312	7.3
"T1-R-58"	172.5	-41.86	-329.3	5.6
"T1-R-59"	175.5	-44.78	-355.8	2.4
"T1-R-60"	178.5	-46.17	-367.1	2.3
"T1-R-61"	181.5	-45.42	-358.5	4.8
"T1-R-62"	184.5	-43.28	-338.2	8.1
"T1-R-63"	187.5	-41.56	-323.2	9.3
"T1-R-64"	190.5	-41.28	-321.9	8.3
"T1-R-65"	193.5	-43.34	-339.9	6.9
"T1-R-66"	196.5	-45.99	-362.5	5.4
"T1-R-67"	199.5	-47.76	-377.4	4.7
"T1-R-68"	202.5	-47.43	-376	3.4
"T1-R-69"	205.5	-46.6	-369.3	3.5
"T1-R-70"	208.5	-45.56	-359.4	5.1
"T1-R-71"	211.5	-44.1	-345.3	7.5
"T1-R-72"	214.5	-43.81	-342.6	7.9
"T1-R-73"	217.5	-44.91	-352.6	6.7
"T1-R-74"	220.5	-46.49	-368.3	3.6
"T1-R-75"	223.5	-48.07	-382.2	2.3
"T1-R-76"	226.5	-49.05	-389	3.5
"T1-R-77"	229.5	-49.15	-389.2	4
"T1-R-78"	232.5	-48.13	-380	5
"T1-R-79"	235.5	-46.01	-360.6	7.5
"T1-R-80"	238.5	-45.11	-352.7	8.2
"T1-R-81"	241.111111111111	-45.9	-362.5	4.7
"T1-R-82"	243.333333333333	-46.08	-364.7	4
"T1-R-83"	245.555555555556	-45.04	-356.8	3.5
"T1-R-84"	247.777777777778	-42.88	-340.8	2.2
"T1-R-85"	250	-41.26	-329.6	0.5
"T1-R-86"	252.222222222222	-40.4	-324.3	-1.1
"T1-R-87"	254.444444444444	-40.32	-323.5	-0.9
"T1-R-88"	256.666666666667	-40.93	-327.2	0.3
"T1-R-89"	258.888888888889	-41.5	-329.4	2.6
"T1-R-90"	261.111111111111	-41.48	-326.3	5.5
"T1-R-91"	263.333333333333	-41.26	-321.7	8.4
"T1-R-92"	265.555555555556	-41.72	-324.4	9.4
"T1-R-93"	267.777777777778	-42.84	-334.6	8.1
"T1-R-94"	270	-44.23	-347.6	6.3
"T1-R-95"	272.222222222222	-45.05	-355.2	5.2
"T1-R-96"	274.444444444444	-44.71	-351.9	5.8
"T1-R-97"	276.666666666667	-43.33	-338.8	7.9
"T1-R-98"	278.888888888889	-41.36	-319.9	11
"T1-R-99"	281.111111111111	-39.75	-304.9	13
"T1-R-100"	283.333333333333	-38.82	-297.6	13
