"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-S-01"	1.5			
"T1-S-02"	4.5			
"T1-S-03"	7.5			
"T1-S-04"	10.5			
"T1-S-05"	13.5	-43.29	-346.5	-0.2
"T1-S-06"	16.5	-48.1	-380.2	4.6
"T1-S-07"	19.5	-47.13	-371.4	5.7
"T1-S-08"	22.5	-50.82	-398.3	8.3
"T1-S-09"	25.5	-50.87	-396.7	10.3
"T1-S-10"	28.5	-46.43	-366.3	5.1
"T1-S-11"	31.5	-43.38	-341.9	5.2
"T1-S-12"	34.5	-42.86	-339.9	3
"T1-S-13"	37.5	-44.58	-351.4	5.3
"T1-S-14"	40.5	-45.57	-359.2	5.3
"T1-S-15"	43.5	-45.71	-356.4	9.3
"T1-S-16"	46.5	-44.82	-348.8	9.7
"T1-S-17"	49.5	-42.87	-335.2	7.8
"T1-S-18"	52.5	-40.79	-323.9	2.4
"T1-S-19"	55.5	-41.61	-333.7	-0.8
"T1-S-20"	58.5	-44.72	-354.7	3
"T1-S-21"	61.5	-46.72	-368.6	5.2
"T1-S-22"	64.5	-48.91	-384.7	6.5
"T1-S-23"	67.5	-51.31	-401.7	8.8
"T1-S-24"	70.5	-50.24	-393.4	8.5
"T1-S-25"	73.5	-47.7	-374.2	7.4
"T1-S-26"	76.5	-46.31	-362.2	8.2
"T1-S-27"	79.5	-44.53	-349.3	6.9
"T1-S-28"	82.5	-43.08	-340.9	3.8
"T1-S-29"	85.5	-44.8	-356.2	2.2
"T1-S-30"	88.5	-46.36	-365.8	5.1
"T1-S-31"	91.5	-46.77	-366.6	7.6
"T1-S-32"	94.5	-45.43	-354.2	9.2
"T1-S-33"	97.5	-42.62	-330.1	10.9
"T1-S-34"	100.5	-42.92	-334.6	8.8
"T1-S-35"	103.5	-46.62	-365.6	7.3
"T1-S-36"	106.5	-48.48	-379.9	7.9
"T1-S-37"	109.5	-47.31	-369.5	9
"T1-S-38"	112.5	-43.84	-340.6	10.1
"T1-S-39"	115.5	-41.13	-319.9	9.1
"T1-S-40"	118.5	-40.34	-316.4	6.3
"T1-S-41"	121.5	-42.08	-334.6	2.1
"T1-S-42"	124.5	-45.87	-363.3	3.6
"T1-S-43"	127.5	-47.33	-372.7	5.9
"T1-S-44"	130.5	-45.86	-358	8.8
"T1-S-45"	133.5	-43.75	-338.7	11.4
"T1-S-46"	136.5	-43.14	-335.4	9.7
"T1-S-47"	139.5	-42.36	-330.4	8.5
"T1-S-48"	142.5	-41.23	-322.3	7.6
"T1-S-49"	145.5	-40.49	-317.2	6.7
"T1-S-50"	148.5	-41.29	-326.4	3.9
"T1-S-51"	151.5	-43.51	-344.2	3.9
"T1-S-52"	154.5	-45.61	-359.8	5.1
"T1-S-53"	157.5	-46.4	-365.6	5.6
"T1-S-54"	160.5	-45.23	-354.4	7.5
"T1-S-55"	163.5	-42.94	-334.8	8.7
"T1-S-56"	166.5	-40.34	-314.6	8.2
"T1-S-57"	169.5	-38.91	-304.5	6.8
"T1-S-58"	172.5	-38.75	-303	7
"T1-S-59"	175.5	-39.82	-310.3	8.2
"T1-S-60"	178.5	-42.23	-329.8	8
"T1-S-61"	181.5	-43.65	-338.7	10.5
"T1-S-62"	184.5	-43.57	-338.4	10.2
"T1-S-63"	187.5	-42.33	-329.3	9.3
"T1-S-64"	190.5	-41.21	-320.4	9.3
"T1-S-65"	193.5	-42.84	-334.7	8.1
"T1-S-66"	196.5	-45.59	-357.3	7.4
"T1-S-67"	199.5	-47.57	-372	8.6
"T1-S-68"	202.5	-48.23	-377.1	8.7
"T1-S-69"	205.5	-48.08	-375.8	8.9
"T1-S-70"	208.5	-46.74	-363.9	10
"T1-S-71"	211.5	-45.73	-354.8	11.1
"T1-S-72"	214.5	-45.64	-355.4	9.8
"T1-S-73"	217.5	-46.13	-360.6	8.4
"T1-S-74"	220.5	-47.65	-375.6	5.7
"T1-S-75"	223.5	-48.75	-385.4	4.6
"T1-S-76"	226.5	-48.88	-386.3	4.7
"T1-S-77"	229.5	-47.88	-376.4	6.7
"T1-S-78"	232.5	-46.05	-358.7	9.7
"T1-S-79"	235.5	-43.71	-338.1	11.6
"T1-S-80"	238.5	-42.11	-325.3	11.6
"T1-S-81"	241.111111111111	-40.94	-318.1	9.4
"T1-S-82"	243.333333333333	-41.32	-323.1	7.5
"T1-S-83"	245.555555555556	-42.03	-330.5	5.8
"T1-S-84"	247.777777777778	-42.98	-339.3	4.5
"T1-S-85"	250	-43.2	-340.5	5.1
"T1-S-86"	252.222222222222	-42.77	-336.2	6
"T1-S-87"	254.444444444444	-42.13	-330.8	6.3
"T1-S-88"	256.666666666667	-41.81	-327.9	6.5
"T1-S-89"	258.888888888889	-41.83	-328.6	6
"T1-S-90"	261.111111111111	-42.25	-332.2	5.9
"T1-S-91"	263.333333333333	-43.15	-339.5	5.7
"T1-S-92"	265.555555555556	-44.45	-350	5.7
"T1-S-93"	267.777777777778	-45.94	-362.2	5.4
"T1-S-94"	270	-47.17	-372.3	5.1
"T1-S-95"	272.222222222222	-47.7	-376.6	5
"T1-S-96"	274.444444444444	-47.58	-375	5.7
"T1-S-97"	276.666666666667	-46.58	-366.3	6.3
"T1-S-98"	278.888888888889	-44.85	-350.2	8.6
"T1-S-99"	281.111111111111	-42.68	-331.3	10.1
"T1-S-100"	283.333333333333	-40.89	-315.8	11.3
"T1-S-101"	285.555555555556	-39.83	-307.5	11.1
"T1-S-102"	287.777777777778	-39.7	-307.4	10.3
"T1-S-103"	290	-40.51	-316.3	7.7
"T1-S-104"	292.222222222222	-41.99	-330.4	5.5
"T1-S-105"	294.444444444444	-43.55	-344.2	4.1
"T1-S-106"	296.666666666667	-44.62	-352.8	4.2
"T1-S-107"	298.888888888889	-45.17	-357.3	4.1
"T1-S-108"	301.111111111111	-45.39	-359	4.1
"T1-S-109"	303.333333333333	-45.29	-358.3	4
"T1-S-110"	305.555555555556	-45.03	-355.9	4.4
"T1-S-111"	307.777777777778	-44.74	-352.5	5.4
"T1-S-112"	310	-44.62	-349.8	7.2
"T1-S-113"	312.222222222222	-44.6	-347.8	9.1
"T1-S-114"	314.444444444444	-44.49	-345.6	10.3
"T1-S-115"	316.666666666667	-44.25	-343.3	10.8
"T1-S-116"	318.888888888889	-44.14	-343	10.2
"T1-S-117"	321.111111111111	-44.21	-344.8	8.9
"T1-S-118"	323.333333333333	-44.57	-350.2	6.4
"T1-S-119"	325.555555555556	-45.2	-357.9	3.7
"T1-S-120"	327.777777777778	-45.86	-364.5	2.4
"T1-S-121"	330	-46.48	-369.4	2.4
"T1-S-122"	332.222222222222	-46.93	-372.3	3.2
"T1-S-123"	334.444444444444	-47.16	-372.9	4.4
"T1-S-124"	336.666666666667	-46.98	-369.9	6
"T1-S-125"	338.888888888889	-46.32	-363	7.6
