"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-T-01"	1.5			
"T1-T-02"	4.5			
"T1-T-03"	7.5			
"T1-T-04"	10.5	-39.3	-313.5	0.9
"T1-T-05"	13.5	-35.23	-283.2	-1.4
"T1-T-06"	16.5	-35.77	-288.4	-2.3
"T1-T-07"	19.5	-46.29	-370.2	0.1
"T1-T-08"	22.5	-53.19	-416.4	9.2
"T1-T-09"	25.5	-54.91	-424.9	14.3
"T1-T-10"	28.5	-54.98	-424.6	15.2
"T1-T-11"	31.5	-52.49	-407	12.9
"T1-T-12"	34.5	-44.62	-350.3	6.6
"T1-T-13"	37.5	-43.4	-346.5	0.7
"T1-T-14"	40.5	-44.55	-353.5	3
"T1-T-15"	43.5	-45.22	-356.8	5
"T1-T-16"	46.5	-44.68	-349.9	7.5
"T1-T-17"	49.5	-43.67	-337.4	12
"T1-T-18"	52.5	-43.56	-337.1	11.4
"T1-T-19"	55.5	-42.45	-332	7.6
"T1-T-20"	58.5	-41	-326.8	1.2
"T1-T-21"	61.5	-44.09	-350.8	2
"T1-T-22"	64.5	-47.34	-375.2	3.5
"T1-T-23"	67.5	-48.27	-382.2	4
"T1-T-24"	70.5	-47.01	-370.6	5.5
"T1-T-25"	73.5	-45.47	-356.7	7.1
"T1-T-26"	76.5	-44.42	-349.4	6
"T1-T-27"	79.5	-45.51	-361.7	2.4
"T1-T-28"	82.5	-46.4	-369.6	1.6
"T1-T-29"	85.5	-46.33	-368.8	1.8
"T1-T-30"	88.5	-45.7	-362.6	2.9
"T1-T-31"	91.5	-45.12	-354	6.9
"T1-T-32"	94.5	-43.74	-340.9	9
"T1-T-33"	97.5	-41.15	-320.6	8.6
"T1-T-34"	100.5	-39.52	-308.9	7.3
"T1-T-35"	103.5	-41.11	-324	4.9
"T1-T-36"	106.5	-44.01	-347.7	4.4
"T1-T-37"	109.5	-44.61	-348.9	7.9
"T1-T-38"	112.5	-43.05	-335.7	8.7
"T1-T-39"	115.5	-41.56	-325.2	7.3
"T1-T-40"	118.5	-39.84	-317	1.7
"T1-T-41"	121.5	-39.26	-317	-2.9
"T1-T-42"	124.5	-40.98	-329	-1.1
"T1-T-43"	127.5	-42.22	-333.6	4.1
"T1-T-44"	130.5	-41.53	-323	9.2
"T1-T-45"	133.5	-40.73	-315.1	10.7
"T1-T-46"	136.5	-40.84	-317.4	9.3
"T1-T-47"	139.5	-40.86	-319.2	7.6
"T1-T-48"	142.5	-39.91	-313	6.3
"T1-T-49"	145.5	-40.03	-315.6	4.6
"T1-T-50"	148.5	-41.41	-328.2	3.1
"T1-T-51"	151.5	-44.15	-348.9	4.3
"T1-T-52"	154.5	-46.59	-367.6	5.1
"T1-T-53"	157.5	-47.24	-372.4	5.5
"T1-T-54"	160.5	-46.06	-362.5	6
"T1-T-55"	163.5	-44.04	-345	7.4
"T1-T-56"	166.5	-41.74	-326.3	7.6
"T1-T-57"	169.5	-40.4	-317.5	5.7
"T1-T-58"	172.5	-40.03	-314.6	5.7
"T1-T-59"	175.5	-40.92	-318.9	8.5
"T1-T-60"	178.5	-42.96	-333.9	9.8
"T1-T-61"	181.5	-43.78	-337.8	12.4
"T1-T-62"	184.5	-43.98	-339.7	12.1
"T1-T-63"	187.5	-43.56	-339.1	9.4
"T1-T-64"	190.5	-43.29	-338.2	8.1
"T1-T-65"	193.5	-44.5	-349.1	6.9
"T1-T-66"	196.5	-46.43	-366.8	4.6
"T1-T-67"	199.5	-47.89	-380.4	2.6
"T1-T-68"	202.5	-48.32	-383.6	3
"T1-T-69"	205.5	-48.07	-379.1	5.5
"T1-T-70"	208.5	-46.58	-365.3	7.3
"T1-T-71"	211.5	-43.76	-339.4	10.7
"T1-T-72"	214.5	-40.94	-314	13.5
"T1-T-73"	217.5	-40.15	-307.4	13.8
"T1-T-74"	220.5	-41.29	-319.8	10.5
"T1-T-75"	223.5	-45.12	-355.7	5.3
"T1-T-76"	226.5	-48.4	-383.6	3.6
"T1-T-77"	229.5	-49.65	-393.2	4.1
"T1-T-78"	232.5	-48.88	-386.2	4.8
"T1-T-79"	235.5	-46.65	-366.8	6.4
"T1-T-80"	238.5	-43.93	-343	8.5
"T1-T-81"	241.111111111111	-42.59	-332.7	8
"T1-T-82"	243.333333333333	-43.33	-340.5	6.1
"T1-T-83"	245.555555555556	-44.77	-353.1	5.1
"T1-T-84"	247.777777777778	-46.04	-362.6	5.7
"T1-T-85"	250	-46.49	-364.9	7
"T1-T-86"	252.222222222222	-46.27	-361.9	8.3
"T1-T-87"	254.444444444444	-45.87	-359.4	7.6
"T1-T-88"	256.666666666667	-45.77	-360.6	5.6
"T1-T-89"	258.888888888889	-46.15	-366.1	3.1
"T1-T-90"	261.111111111111	-46.91	-373.4	1.9
"T1-T-91"	263.333333333333	-47.25	-375.3	2.7
"T1-T-92"	265.555555555556	-46.98	-371.3	4.6
"T1-T-93"	267.777777777778	-46.91	-370.6	4.6
"T1-T-94"	270	-47.27	-373.6	4.5
"T1-T-95"	272.222222222222	-47.81	-378	4.5
"T1-T-96"	274.444444444444	-48.14	-380.6	4.5
"T1-T-97"	276.666666666667	-48.13	-380.3	4.7
"T1-T-98"	278.888888888889	-47.51	-374.8	5.3
