"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-U-01"	1.5			
"T1-U-02"	4.5			
"T1-U-03"	7.5			
"T1-U-04"	10.5			
"T1-U-05"	13.5	-45.79	-366.2	0.1
"T1-U-06"	16.5	-50.88	-402.9	4.2
"T1-U-07"	19.5	-52.23	-410.2	7.7
"T1-U-08"	22.5	-52.04	-408	8.3
"T1-U-09"	25.5	-51.56	-403.6	8.9
"T1-U-10"	28.5	-48.91	-382.8	8.5
"T1-U-11"	31.5	-44.5	-346.8	9.2
"T1-U-12"	34.5	-43.11	-343.8	1.1
"T1-U-13"	37.5	-44.04	-349.1	3.2
"T1-U-14"	40.5	-47.57	-376.4	4.2
"T1-U-15"	43.5	-51.01	-403	5.1
"T1-U-16"	46.5	-49.14	-385.7	7.5
"T1-U-17"	49.5	-45.87	-357.6	9.3
"T1-U-18"	52.5	-44.67	-348.1	9.3
"T1-U-19"	55.5	-43.12	-335.2	9.7
"T1-U-20"	58.5	-40.73	-318.9	6.9
"T1-U-21"	61.5	-41.97	-332.4	3.4
"T1-U-22"	64.5	-46.63	-365.4	7.6
"T1-U-23"	67.5	-51.15	-397.8	11.4
"T1-U-24"	70.5	-52.62	-407.5	13.5
"T1-U-25"	73.5	-49.56	-383.3	13.2
"T1-U-26"	76.5	-46.04	-357.7	10.7
"T1-U-27"	79.5	-43.16	-337.7	7.5
"T1-U-28"	82.5	-42.46	-335.3	4.4
"T1-U-29"	85.5	-44.98	-355.7	4.2
"T1-U-30"	88.5	-46.38	-364.9	6.1
"T1-U-31"	91.5	-46.17	-359	10.3
"T1-U-32"	94.5	-45.21	-351	10.6
"T1-U-33"	97.5	-42.72	-336.1	5.7
"T1-U-34"	100.5	-42.02	-332.3	3.9
"T1-U-35"	103.5	-42.47	-334.6	5.1
"T1-U-36"	106.5	-43.43	-341.9	5.5
"T1-U-37"	109.5	-44.51	-350.7	5.3
"T1-U-38"	112.5	-43.87	-343.2	7.8
"T1-U-39"	115.5	-42.02	-326.8	9.4
"T1-U-40"	118.5	-40.4	-316.7	6.4
"T1-U-41"	121.5	-39.82	-317.8	0.7
"T1-U-42"	124.5	-42.51	-341.9	-1.8
"T1-U-43"	127.5	-44.2	-353.3	0.3
"T1-U-44"	130.5	-44.27	-349.6	4.6
