"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-V-01"	1.5			
"T1-V-02"	4.5			
"T1-V-03"	7.5			
"T1-V-04"	10.5			
"T1-V-05"	13.5	-44.67	-359.2	-1.9
"T1-V-06"	16.5	-48.09	-380.3	4.4
"T1-V-07"	19.5	-51.06	-400.9	7.6
"T1-V-08"	22.5	-53.6	-416.5	12.3
"T1-V-09"	25.5	-53.7	-417	12.5
"T1-V-10"	28.5	-48.75	-380.2	9.8
"T1-V-11"	31.5	-44.47	-351.6	4.2
"T1-V-12"	34.5	-45.33	-358.2	4.5
"T1-V-13"	37.5	-45.22	-357.6	4.1
"T1-V-14"	40.5	-47.2	-373.8	3.8
"T1-V-15"	43.5	-51.26	-407.1	3
"T1-V-16"	46.5	-49.73	-390	7.9
"T1-V-17"	49.5	-46.8	-366.5	7.9
"T1-V-18"	52.5	-45.33	-354.2	8.4
"T1-V-19"	55.5	-44.7	-349.9	7.7
"T1-V-20"	58.5	-46.43	-367	4.4
"T1-V-21"	61.5	-50.53	-396.4	7.8
"T1-V-22"	64.5	-52.99	-411.4	12.5
"T1-V-23"	67.5	-53.52	-414.2	14
"T1-V-24"	70.5	-52.74	-408.5	13.4
"T1-V-25"	73.5	-51.55	-400.4	12
"T1-V-26"	76.5	-48.88	-378.9	12.1
"T1-V-27"	79.5	-47.62	-370.5	10.4
"T1-V-28"	82.5	-46.24	-362.1	7.8
"T1-V-29"	85.5	-44.61	-353.5	3.4
"T1-V-30"	88.5	-45.97	-364.9	2.8
"T1-V-31"	91.5	-46.19	-362.2	7.3
"T1-V-32"	94.5	-45.2	-352.2	9.3
"T1-V-33"	97.5	-42.09	-331.5	5.2
"T1-V-34"	100.5	-41.41	-327.7	3.5
"T1-V-35"	103.5	-42.45	-334.6	4.9
"T1-V-36"	106.5	-44.75	-352.8	5.2
"T1-V-37"	109.5	-46.05	-361.6	6.7
"T1-V-38"	112.5	-44.74	-347.9	10
"T1-V-39"	115.5	-44.89	-349.9	9.2
"T1-V-40"	118.5	-45.93	-360.4	7.1
"T1-V-41"	121.5	-45.97	-361.4	6.3
"T1-V-42"	124.5	-46.49	-366.2	5.7
"T1-V-43"	127.5	-46.64	-367	6.1
"T1-V-44"	130.5	-45.59	-357.4	7.3
"T1-V-45"	133.5	-43.13	-335.5	9.5
"T1-V-46"	136.5	-41.22	-319.8	10
"T1-V-47"	139.5	-39.98	-310.7	9.2
"T1-V-48"	142.5	-38.98	-303.3	8.5
"T1-V-49"	145.5	-39.11	-303.7	9.1
"T1-V-50"	148.5	-40.48	-317.8	6
"T1-V-51"	151.5	-43.49	-346.6	1.3
"T1-V-52"	154.5	-46.4	-368.5	2.7
"T1-V-53"	157.5	-46.63	-367.8	5.3
"T1-V-54"	160.5	-44.6	-348.7	8.1
