"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-W-01"	1.5			
"T1-W-02"	4.5			
"T1-W-03"	7.5	-34.02	-272	0.2
"T1-W-04"	10.5	-39.38	-317	-1.9
"T1-W-05"	13.5	-46.69	-368.8	4.7
"T1-W-06"	16.5	-52.9	-411.6	11.6
"T1-W-07"	19.5	-55.2	-425	16.6
"T1-W-08"	22.5	-54.06	-417	15.5
"T1-W-09"	25.5	-48.38	-374.9	12.1
"T1-W-10"	28.5	-44.37	-349.4	5.6
"T1-W-11"	31.5	-44.56	-353	3.5
"T1-W-12"	34.5	-45.51	-358.7	5.3
"T1-W-13"	37.5	-45.72	-360.9	4.9
"T1-W-14"	40.5	-44.83	-354.5	4.2
"T1-W-15"	43.5	-45.67	-359.4	6
"T1-W-16"	46.5	-46.45	-364.3	7.3
"T1-W-17"	49.5	-42.9	-330.8	12.4
"T1-W-18"	52.5	-42.7	-330	11.6
"T1-W-19"	55.5	-43.82	-342.2	8.4
"T1-W-20"	58.5	-40.23	-316.4	5.4
"T1-W-21"	61.5	-39.85	-317.2	1.7
"T1-W-22"	64.5	-43.59	-346	2.7
"T1-W-23"	67.5	-47.99	-379.5	4.4
"T1-W-24"	70.5	-50.41	-396.3	7
"T1-W-25"	73.5	-49.61	-388.9	8
"T1-W-26"	76.5	-46.6	-365.6	7.2
"T1-W-27"	79.5	-42.53	-334.8	5.4
"T1-W-28"	82.5	-42.05	-337	-0.6
"T1-W-29"	85.5	-43.91	-353.1	-1.9
"T1-W-30"	88.5	-45.85	-365.9	0.9
"T1-W-31"	91.5	-47.11	-372.5	4.4
"T1-W-32"	94.5	-46.55	-365.5	6.9
"T1-W-33"	97.5	-44.79	-351.3	7.1
"T1-W-34"	100.5	-42.85	-340	2.8
"T1-W-35"	103.5	-43.34	-345.4	1.3
"T1-W-36"	106.5	-44.41	-350	5.3
"T1-W-37"	109.5	-43.73	-341.1	8.8
"T1-W-38"	112.5	-42.04	-326.1	10.1
"T1-W-39"	115.5			
"T1-W-40"	118.5	-42.71	-334.7	7
"T1-W-41"	121.5	-42.44	-335.6	3.9
"T1-W-42"	124.5	-43.06	-341.6	2.8
"T1-W-43"	127.5	-43.81	-345.8	4.7
"T1-W-44"	130.5	-43.77	-342.4	7.7
"T1-W-45"	133.5	-42.43	-328.5	10.9
"T1-W-46"	136.5	-41	-317.1	11
"T1-W-47"	139.5	-40.02	-310.1	10.1
"T1-W-48"	142.5	-39.15	-303.9	9.3
"T1-W-49"	145.5	-38.77	-300.1	10.1
"T1-W-50"	148.5	-40.5	-313.1	10.9
"T1-W-51"	151.5	-44.31	-347.3	7.2
"T1-W-52"	154.5			
"T1-W-53"	157.5	-49.74	-392.9	5
"T1-W-54"	160.5	-47.75	-375.2	6.9
"T1-W-55"	163.5	-44.92	-351.1	8.2
"T1-W-56"	166.5	-41.68	-325.3	8.2
"T1-W-57"	169.5	-38.25	-299.3	6.7
"T1-W-58"	172.5	-35.93	-279.5	8
"T1-W-59"	175.5	-34.98	-267	12.8
"T1-W-60"	178.5	-38.95	-301	10.7
"T1-W-61"	181.5	-44.07	-347	5.6
"T1-W-62"	184.5	-44.69	-350.5	7
"T1-W-63"	187.5	-43.55	-340.7	7.7
"T1-W-64"	190.5	-43.89	-343.4	7.8
"T1-W-65"	193.5	-46.04	-361.7	6.6
"T1-W-66"	196.5	-48.45	-381.2	6.4
"T1-W-67"	199.5	-48.83	-382.5	8.1
"T1-W-68"	202.5	-48.31	-377	9.4
"T1-W-69"	205.5	-47.41	-370.4	8.9
"T1-W-70"	208.5	-46.39	-363.1	8
"T1-W-71"	211.5	-44.48	-346.7	9.1
"T1-W-72"	214.5	-41.88	-322.7	12.3
"T1-W-73"	217.5	-41.28	-317.9	12.3
"T1-W-74"	220.5	-42.93	-333.8	9.6
"T1-W-75"	223.5	-43.86	-343	7.8
"T1-W-76"	226.5	-44.78	-352.1	6.1
"T1-W-77"	229.5	-45.95	-362.1	5.5
"T1-W-78"	232.5	-45.83	-359.4	7.2
"T1-W-79"	235.5	-45.3	-354.1	8.3
"T1-W-80"	238.5	-46.13	-361.7	7.3
"T1-W-81"	241.111111111111	-47.26	-371.2	6.8
"T1-W-82"	243.333333333333	-47.28	-372	6.3
"T1-W-83"	245.555555555556	-46.81	-368.8	5.6
"T1-W-84"	247.777777777778	-46.56	-368	4.5
"T1-W-85"	250	-47.29	-374.5	3.8
"T1-W-86"	252.222222222222	-48.24	-381.9	4
"T1-W-87"	254.444444444444	-48.58	-384	4.6
"T1-W-88"	256.666666666667	-48.2	-379.9	5.7
"T1-W-89"	258.888888888889	-47.53	-373.9	6.4
"T1-W-90"	261.111111111111	-46.96	-369	6.7
"T1-W-91"	263.333333333333	-46.52	-365.1	7.1
"T1-W-92"	265.555555555556	-46.28	-362.7	7.5
"T1-W-93"	267.777777777778	-46.37	-363.2	7.7
"T1-W-94"	270	-46.62	-364.7	8.2
"T1-W-95"	272.222222222222	-46.64	-365.6	7.6
"T1-W-96"	274.444444444444	-46.27	-362.6	7.6
"T1-W-97"	276.666666666667	-45.23	-353.3	8.5
"T1-W-98"	278.888888888889	-43.6	-338.3	10.4
"T1-W-99"	281.111111111111	-42.06	-325	11.5
"T1-W-100"	283.333333333333	-41.48	-321.3	10.6
"T1-W-101"	285.555555555556	-41.76	-325.3	8.8
"T1-W-102"	287.777777777778	-42.44	-333.1	6.4
"T1-W-103"	290	-43.44	-341.9	5.7
"T1-W-104"	292.222222222222	-44.38	-349.6	5.5
"T1-W-105"	294.444444444444	-44.9	-353.8	5.4
"T1-W-106"	296.666666666667	-45.09	-355.2	5.5
"T1-W-107"	298.888888888889	-44.99	-354.8	5.1
"T1-W-108"	301.111111111111	-44.76	-353.4	4.8
"T1-W-109"	303.333333333333	-44.65	-352	5.2
"T1-W-110"	305.555555555556	-45.09	-355.4	5.4
"T1-W-111"	307.777777777778	-45.74	-360.8	5
"T1-W-112"	310	-46.66	-368.7	4.6
"T1-W-113"	312.222222222222	-47.08	-371.3	5.4
"T1-W-114"	314.444444444444	-46.94	-368.5	7
"T1-W-115"	316.666666666667	-46.39	-362.5	8.6
"T1-W-116"	318.888888888889	-45.75	-356.1	9.9
"T1-W-117"	321.111111111111	-45.13	-351.3	9.7
"T1-W-118"	323.333333333333	-44.96	-351.4	8.3
"T1-W-119"	325.555555555556	-45.41	-357.3	5.9
"T1-W-120"	327.777777777778	-46.27	-366.4	3.7
"T1-W-121"	330	-47.19	-374.2	3.4
"T1-W-122"	332.222222222222	-47.95	-380.1	3.5
"T1-W-123"	334.444444444444	-48.29	-381.6	4.7
"T1-W-124"	336.666666666667	-48.18	-379.7	5.7
"T1-W-125"	338.888888888889	-47.57	-373.7	6.9
