"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-X-01"	1.5	-35.02	-280.1	0
"T1-X-02"	4.5	-33.9	-270.5	0.6
"T1-X-03"	7.5	-34.74	-278.8	-0.9
"T1-X-04"	10.5	-43.52	-350.5	-2.3
"T1-X-05"	13.5	-48.95	-385.7	5.9
"T1-X-06"	16.5	-51.97	-406.5	9.3
"T1-X-07"	19.5	-52.52	-412.1	8.1
"T1-X-08"	22.5	-50.04	-390.6	9.8
"T1-X-09"	25.5	-48.81	-380.5	10
"T1-X-10"	28.5	-47.87	-374.9	8.1
"T1-X-11"	31.5	-41.65	-328.6	4.6
"T1-X-12"	34.5	-42.23	-335.3	2.6
"T1-X-13"	37.5	-44	-349.6	2.4
"T1-X-14"	40.5	-44.21	-351	2.7
"T1-X-15"	43.5	-46.6	-368.5	4.3
"T1-X-16"	46.5	-48.76	-384	6.1
"T1-X-17"	49.5	-45.61	-355	9.9
"T1-X-18"	52.5	-43.5	-338	10
"T1-X-19"	55.5	-41.88	-328.4	6.6
"T1-X-20"	58.5	-40.35	-321.1	1.7
"T1-X-21"	61.5	-43.89	-348.5	2.7
"T1-X-22"	64.5	-46.49	-367	4.9
"T1-X-23"	67.5	-49.69	-392.8	4.7
"T1-X-24"	70.5	-51.14	-402.6	6.5
"T1-X-25"	73.5	-49.91	-391.7	7.6
"T1-X-26"	76.5	-45.16	-352.6	8.7
"T1-X-27"	79.5	-41.25	-322.2	7.9
"T1-X-28"	82.5	-42.02	-334.4	1.8
"T1-X-29"	85.5	-44.42	-355.9	-0.6
"T1-X-30"	88.5	-45.18	-359.6	1.8
"T1-X-31"	91.5	-44.71	-352.4	5.2
"T1-X-32"	94.5	-44.25	-348	6
"T1-X-33"	97.5	-43.15	-339.5	5.6
"T1-X-34"	100.5	-44.49	-351.9	4.1
"T1-X-35"	103.5	-46.72	-368.6	5.2
"T1-X-36"	106.5	-45.82	-359	7.6
"T1-X-37"	109.5	-42.81	-333.5	9
"T1-X-38"	112.5	-42.55	-332.8	7.6
"T1-X-39"	115.5	-44.88	-353.2	5.9
"T1-X-40"	118.5	-48.19	-379.9	5.6
"T1-X-41"	121.5	-49.66	-390.2	7
"T1-X-42"	124.5	-49.73	-389.8	8
"T1-X-43"	127.5	-47.78	-373.2	9.1
"T1-X-44"	130.5	-44.46	-344.7	11
"T1-X-45"	133.5	-41.9	-322.2	13.1
"T1-X-46"	136.5	-41.01	-316.4	11.7
"T1-X-47"	139.5	-40.2	-312	9.6
"T1-X-48"	142.5			
"T1-X-49"	145.5	-39.61	-309.5	7.4
"T1-X-50"	148.5			
"T1-X-51"	151.5			
"T1-X-52"	154.5			
"T1-X-53"	157.5	-45.6	-359	5.7
"T1-X-54"	160.5	-43.7	-342.9	6.7
"T1-X-55"	163.5	-41.12	-323.3	5.7
"T1-X-56"	166.5	-38.13	-298.5	6.6
"T1-X-57"	169.5	-37.1	-289	7.8
"T1-X-58"	172.5	-37.81	-291.7	10.7
"T1-X-59"	175.5	-41.81	-324.9	9.6
"T1-X-60"	178.5	-46.68	-367.2	6.2
"T1-X-61"	181.5	-46.95	-368.1	7.5
"T1-X-62"	184.5	-45.81	-358.4	8.1
"T1-X-63"	187.5	-45.7	-358.8	6.8
"T1-X-64"	190.5	-46.89	-369.8	5.4
"T1-X-65"	193.5	-48.07	-378.5	6.1
"T1-X-66"	196.5	-48.65	-381.7	7.5
"T1-X-67"	199.5	-48.66	-381.1	8.2
"T1-X-68"	202.5	-48.23	-377	8.9
"T1-X-69"	205.5	-47.56	-371.3	9.2
"T1-X-70"	208.5	-46.89	-365.5	9.6
"T1-X-71"	211.5	-45.29	-352	10.3
"T1-X-72"	214.5	-43.06	-332.2	12.2
"T1-X-73"	217.5	-42.58	-331.5	9.2
"T1-X-74"	220.5			
"T1-X-75"	223.5	-47.08	-376.2	0.5
"T1-X-76"	226.5	-47.64	-379.5	1.6
"T1-X-77"	229.5			
"T1-X-78"	232.5	-43.05	-338.9	5.5
"T1-X-79"	235.5	-42.14	-332.8	4.3
"T1-X-80"	238.5	-44.68	-353.8	3.6
"T1-X-81"	241.111111111111	-46.86	-368.5	6.4
"T1-X-82"	243.333333333333	-47.4	-371.4	7.8
"T1-X-83"	245.555555555556	-47.18	-368.6	8.8
"T1-X-84"	247.777777777778	-46.93	-367.1	8.3
"T1-X-85"	250	-46.81	-366.4	8.1
"T1-X-86"	252.222222222222	-47.41	-372.8	6.5
"T1-X-87"	254.444444444444	-48.46	-382.6	5
"T1-X-88"	256.666666666667	-48.83	-385.9	4.7
