"sample"	"depth_[cm]"	"d18O_[permil]"	"d2H_[permil]"	"dxs_[permil]"
"T1-Y-01"	1.5			
"T1-Y-02"	4.5	-36.11	-287.7	1.2
"T1-Y-03"	7.5	-42.94	-345.9	-2.4
"T1-Y-04"	10.5	-51.9	-410.2	5
"T1-Y-05"	13.5	-55.33	-432.4	10.2
"T1-Y-06"	16.5	-50.3	-392.9	9.5
"T1-Y-07"	19.5	-51.87	-406.6	8.4
"T1-Y-08"	22.5	-50.41	-393.8	9.4
"T1-Y-09"	25.5	-49.37	-386	8.9
"T1-Y-10"	28.5	-46.58	-365.7	6.9
"T1-Y-11"	31.5	-39.76	-311	7.2
"T1-Y-12"	34.5	-40.64	-319.3	5.9
"T1-Y-13"	37.5	-43.11	-342.3	2.6
"T1-Y-14"	40.5	-43.15	-341.3	3.8
"T1-Y-15"	43.5	-42.5	-331.8	8.2
"T1-Y-16"	46.5	-41.73	-324.4	9.5
"T1-Y-17"	49.5	-42.54	-330.6	9.7
"T1-Y-18"	52.5	-44.02	-343.1	9
"T1-Y-19"	55.5	-43.96	-343.1	8.6
"T1-Y-20"	58.5	-41.91	-325.8	9.5
"T1-Y-21"	61.5	-42.73	-335.5	6.3
"T1-Y-22"	64.5	-47.06	-370.9	5.6
"T1-Y-23"	67.5	-48.57	-382.3	6.3
"T1-Y-24"	70.5	-48.3	-381.8	4.6
"T1-Y-25"	73.5	-47.76	-379.1	3
"T1-Y-26"	76.5	-45.72	-363.8	2
"T1-Y-27"	79.5	-45.17	-361.4	-0.1
"T1-Y-28"	82.5	-46.4	-370.5	0.7
"T1-Y-29"	85.5	-46.53	-368.7	3.6
"T1-Y-30"	88.5	-45.89	-358.7	8.4
"T1-Y-31"	91.5	-45.5	-353.8	10.2
"T1-Y-32"	94.5	-45.23	-351.5	10.3
"T1-Y-33"	97.5	-44.44	-348.4	7.1
"T1-Y-34"	100.5	-45.03	-356.8	3.4
"T1-Y-35"	103.5	-47.73	-376.5	5.3
"T1-Y-36"	106.5			
"T1-Y-37"	109.5	-48.24	-376.4	9.5
"T1-Y-38"	112.5	-46.62	-363	10
"T1-Y-39"	115.5	-45.67	-357.2	8.1
"T1-Y-40"	118.5	-45.55	-358.4	6
"T1-Y-41"	121.5	-46.38	-364.7	6.3
"T1-Y-42"	124.5			
"T1-Y-43"	127.5	-45.22	-353.4	8.4
"T1-Y-44"	130.5	-43.14	-334.6	10.6
"T1-Y-45"	133.5	-41.47	-321	10.8
"T1-Y-46"	136.5	-40.76	-317.4	8.7
"T1-Y-47"	139.5	-40.41	-318.5	4.8
"T1-Y-48"	142.5	-41.09	-327	1.7
"T1-Y-49"	145.5	-42.45	-336.6	3
"T1-Y-50"	148.5	-44.51	-354.4	1.7
"T1-Y-51"	151.5	-47.33	-377.6	1
"T1-Y-52"	154.5	-48.78	-388.6	1.7
"T1-Y-53"	157.5	-48.65	-386	3.2
"T1-Y-54"	160.5	-46.14	-363.5	5.6
"T1-Y-55"	163.5	-42.61	-333.1	7.8
"T1-Y-56"	166.5	-39.15	-303.8	9.4
"T1-Y-57"	169.5	-37.3	-286.1	12.3
"T1-Y-58"	172.5	-39.78	-307.6	10.6
"T1-Y-59"	175.5	-44.53	-350	6.3
"T1-Y-60"	178.5	-46.52	-365.4	6.7
"T1-Y-61"	181.5	-45.81	-358.6	7.9
"T1-Y-62"	184.5	-44.4	-348.1	7.1
"T1-Y-63"	187.5	-43.32	-341	5.6
"T1-Y-64"	190.5	-42.38	-332.9	6.1
